Element ID	Element Name	Description
1.A.2.c.2	Wrist-Finger Speed	The ability to make fast, simple, repeated movements of the fingers, hands, and wrists.
1.A.2.c.3	Speed of Limb Movement	The ability to quickly move the arms and legs.
1.A.3	Physical Abilities	Abilities that influence strength, endurance, flexibility, balance and coordination
1.A.3.a	Physical Strength Abilities	Abilities related to the capacity to exert force
1.A.3.a.1	Static Strength	The ability to exert maximum muscle force to lift, push, pull, or carry objects.
1.A.3.a.2	Explosive Strength	The ability to use short bursts of muscle force to propel oneself (as in jumping or sprinting), or to throw an object.
1.A.3.a.3	Dynamic Strength	The ability to exert muscle force repeatedly or continuously over time. This involves muscular endurance and resistance to muscle fatigue.
1.A.3.a.4	Trunk Strength	The ability to use your abdominal and lower back muscles to support part of the body repeatedly or continuously over time without "giving out" or fatiguing.
1.A.3.b	Endurance	The ability to exert oneself physically over long periods without getting out of breath
1.A.3.b.1	Stamina	The ability to exert yourself physically over long periods of time without getting winded or out of breath.
1.A.3.c	Flexibility, Balance, and Coordination	Abilities related to the control of gross body movements
1.A.3.c.1	Extent Flexibility	The ability to bend, stretch, twist, or reach with your body, arms, and/or legs.
1.A.3.c.2	Dynamic Flexibility	The ability to quickly and repeatedly bend, stretch, twist, or reach out with your body, arms, and/or legs.
1.A.3.c.3	Gross Body Coordination	The ability to coordinate the movement of your arms, legs, and torso together when the whole body is in motion.
1.A.3.c.4	Gross Body Equilibrium	The ability to keep or regain your body balance or stay upright when in an unstable position.
1.A.4	Sensory Abilities	Abilities that influence visual, auditory and speech perception
1.A.4.a	Visual Abilities	Abilities related to visual sensory input
1.A.4.a.1	Near Vision	The ability to see details at close range (within a few feet of the observer).
1.A.4.a.2	Far Vision	The ability to see details at a distance.
1.A.4.a.3	Visual Color Discrimination	The ability to match or detect differences between colors, including shades of color and brightness.
1.A.4.a.4	Night Vision	The ability to see under low-light conditions.
1.A.4.a.5	Peripheral Vision	The ability to see objects or movement of objects to one's side when the eyes are looking ahead.
1.A.4.a.6	Depth Perception	The ability to judge which of several objects is closer or farther away from you, or to judge the distance between you and an object.
1.A.4.a.7	Glare Sensitivity	The ability to see objects in the presence of a glare or bright lighting.
1.A.4.b	Auditory and Speech Abilities	Abilities related to auditory and oral input
1.A.4.b.1	Hearing Sensitivity	The ability to detect or tell the differences between sounds that vary in pitch and loudness.
1.A.4.b.2	Auditory Attention	The ability to focus on a single source of sound in the presence of other distracting sounds.
1.A.4.b.3	Sound Localization	The ability to tell the direction from which a sound originated.
1.A.4.b.4	Speech Recognition	The ability to identify and understand the speech of another person.
1.A.4.b.5	Speech Clarity	The ability to speak clearly so others can understand you.
1.B	Career Interests	Work types and activities you enjoy.
1.B.1	Career Interest Types	Broad types of work you enjoy.
1.B.1.a	Realistic	Work involves designing, building, or repairing of equipment, materials, or structures, engaging in physical activity, or working outdoors. Realistic occupations are often associated with engineering, mechanics and electronics, construction, woodworking, transportation, machine operation, agriculture, animal services, physical or manual labor, athletics, or protective services.
1.B.1.b	Investigative	Work involves studying and researching non-living objects, living organisms, disease or other forms of impairment, or human behavior. Investigative occupations are often associated with physical, life, medical, or social sciences, and can be found in the fields of humanities, mathematics/statistics, information technology, or health care service.
1.B.1.c	Artistic	Work involves creating original visual artwork, performances, written works, food, or music for a variety of media, or applying artistic principles to the design of various objects and materials. Artistic occupations are often associated with visual arts, applied arts and design, performing arts, music, creative writing, media, or culinary art.
1.B.1.d	Social	Work involves helping, teaching, advising, assisting, or providing service to others. Social occupations are often associated with social, health care, personal service, teaching/education, or religious activities.
1.B.1.e	Enterprising	Work involves managing, negotiating, marketing, or selling, typically in a business setting, or leading or advising people in political and legal situations. Enterprising occupations are often associated with business initiatives, sales, marketing/advertising, finance, management/administration, professional advising, public speaking, politics, or law.
1.B.1.f	Conventional	Work involves following procedures and regulations to organize information or data, typically in a business setting. Conventional occupations are often associated with office work, accounting, mathematics/statistics, information technology, finance, or human resources.
1.B.1.g	First Interest High-Point	Primary-Rank Descriptiveness
1.B.1.h	Second Interest High-Point	Secondary-Cutoff/Rank Descriptiveness
1.B.1.i	Third Interest High-Point	Tertiary-Cutoff/Rank Descriptiveness
1.B.3	Specific Interest Areas	Work activities you enjoy.
1.B.3.a	Mechanics/Electronics	Work involves maintaining and repairing of machinery, such as automotive engines, electronic equipment, computers, and communication systems.
1.B.3.b	Construction/Woodwork	Work involves constructing, installing, or repairing structures and fixtures made of wood.
1.B.3.c	Transportation/Machine Operation	Work involves driving vehicles, such as vans, trucks, trains, and buses to transport people or materials. Work can also involve operating heavy equipment, such as cranes, forklifts, bulldozers, and backhoes to move materials or earth.
1.B.3.d	Physical/Manual Labor	Work involves manually unloading and moving freight, stock, luggage, or other materials, or performing other physical labor.
1.B.3.e	Protective Service	Work involves maintaining order and protecting life and property by conducting investigations and enforcing laws and regulations to prevent or solve crimes.
1.B.3.f	Agriculture	Work involves planting, cultivating, and harvesting crops, plants, or trees, or raising farm animals. Work can also involve preparing plant and animal products for distribution to consumers, or protecting natural resources to maximize their use in farming.
1.B.3.g	Nature/Outdoors	Work involves planning, restoring, and conserving natural areas and wildlife habitats.
1.B.3.h	Animal Service	Work involves feeding, grooming, exercising, or otherwise providing care to promote and maintain the well-being of pets and other animals in settings such as kennels, animal shelters, and zoos.
1.B.3.i	Athletics	Work involves training, practicing, or competing in athletic events, or supporting those participating in athletics through coaching, training, or officiating.
1.B.3.j	Engineering	Work involves applying science and technology to the design, building, testing, and use of electrical and electronic components, mechanical devices and machines, automotive, marine, and aerospace equipment and vehicles, materials, or structures.
1.B.3.k	Physical Science	Work involves studying and researching non-living objects, materials, and phenomena through scientific disciplines such as physics, chemistry, astronomy, meteorology, or geology.
1.B.3.l	Life Science	Work involves studying and researching living organisms through scientific disciplines such as biology, botany, zoology, microbiology, physiology, biochemistry, or zoology.
1.B.3.m	Medical Science	Work involves studying and researching the causes, nature, effects, and treatments of disease or other forms of impairment or illness.
1.B.3.n	Social Science	Work involves studying and researching human behavior, society, politics, and social relationships through scientific disciplines such as psychology, sociology, economics, or political science.
1.B.3.o	Humanities	Work involves studying and researching aspects of human history, culture, and language through disciplines such as history, philosophy, the language arts, or area/ethnic studies.
1.B.3.p	Mathematics/Statistics	Work involves developing and applying mathematics and statistical theory and methods.
1.B.3.q	Information Technology	Work involves designing, developing, testing, and maintaining computer software, hardware, networks, and systems.
1.B.3.r	Visual Arts	Work involves creating original visual artwork for a variety of media and purposes using various techniques and software.
1.B.3.s	Applied Arts and Design	Work involves applying artistic principles to the design and creation of various objects and materials.
1.B.3.t	Performing Arts	Work involves acting as a performer in dance, comedy, or dramatic productions, choreographing of dance performances, or producing of live or recorded entertainment.
1.B.3.u	Music	Work involves conducting, composing, or playing music or singing.
1.B.3.v	Creative Writing	Work involves developing creative written works, such as novels, scripts, song lyrics, poetry, stories, or advertisements.
1.B.3.w	Media	Work involves producing, developing, writing, directing, or presenting information through print, radio, television, or digital media.
1.B.3.x	Culinary Art	Work involves preparing, cooking, and presenting food in a distinctive style usually associated with a specific culture or region.
1.B.3.y	Teaching/Education	Work involves teaching through lectures, discussions, and demonstrations in one or more subjects.
1.B.3.z	Social Service	Work involves providing social services and assistance to improve the well-being and social and psychological functioning of children and adults.
1.B.3.aa	Health Care Service	Work involves providing health care services to individuals to include the diagnosis, prevention, or treatment of diseases and other forms of illness or impairment.
1.B.3.ab	Religious Activities	Work involves conducting religious worship, leading a church or other religious group, and offering moral guidance associated with beliefs and practices of a religious faith.
1.B.3.ac	Personal Service	Work involves providing personal services to individuals in need of non-medical assistance such as helping arrange or plan for travel, meals, or events.
1.B.3.ad	Professional Advising	Work involves providing expert advice, coaching, and counseling on topics such as careers, educational opportunities, and educational and professional development.
1.B.3.ae	Business Initiatives	Work involves creating strategic plans or taking actions to expand an organization's business or market share.
1.B.3.af	Sales	Work involves selling goods or services.
1.B.3.ag	Marketing/Advertising	Work involves promoting or creating a public image for products, services, or organizations to attract interest, engagement, or sales.
1.B.3.ah	Finance	Work involves directing and managing financial activities, such as planning and investments for an individual or organization to generate income.
1.B.3.ai	Accounting	Work involves examining, analyzing, and interpreting accounting records for financial statements, or maintaining, auditing, or evaluating records and accounts.
1.B.3.aj	Human Resources	Work involves recruiting, selecting, and training job applicants, maintaining employee personnel records, administering compensation and employee-benefit programs, and conducting employee performance reviews.
1.B.3.ak	Office Work	Work involves clerical and administrative tasks for an organization such as answering phones, bookkeeping, updating records, scheduling appointments or meetings, and editing of documents and files.
1.B.3.al	Management/Administration	Work involves planning, directing, or coordinating the daily operations of an organization, and overseeing personnel, business, or administrative services.
1.B.3.am	Public Speaking	Work involves speaking before an audience to educate, entertain, or influence the listeners.
1.B.3.an	Politics	Work involves engaging in political activities to influence government policy.
1.B.3.ao	Law	Work involves studying and applying legal knowledge.
1.D	Work Styles	Personality tendencies exhibited at work, which can affect how well someone performs a job.
1.D.1	Proactive and Growth Oriented	A tendency to proactively pursue excellence through setting high standards, engaging in continuous learning, and persisting and adapting in the face of challenges and uncertainty at work.
1.D.1.a	Innovation	A tendency to be inventive, to be imaginative, and to adopt new perspectives on ways to accomplish work.
1.D.1.b	Achievement Orientation	A tendency to establish and maintain personally challenging work-related goals, set high work-related standards, and exert high effort toward meeting those goals and standards.
1.D.1.c	Intellectual Curiosity	A tendency to seek out and acquire new work-related knowledge and obtain a deep understanding of work-related subjects.
1.D.1.d	Tolerance for Ambiguity	A tendency to be comfortable with ambiguity and uncertainty at work.
1.D.1.e	Initiative	A tendency to be proactive and take on extra responsibilities and tasks that may fall outside of one's required work role.
1.D.1.f	Adaptability	A tendency to be open to and comfortable with change, new experiences, or ideas at work.
1.D.1.g	Self-Confidence	A tendency to believe in one's work-related capabilities and ability to control one's work-related outcomes.
1.D.1.h	Perseverance	A tendency to exhibit determination and resolve to perform or complete tasks in the face of difficult circumstances or obstacles at work.
1.D.1.i	Leadership Orientation	A tendency to lead, take charge, offer opinions, and provide direction at work.
1.D.2	Interpersonally Oriented	A tendency to engage with others in a positive, supportive, selfless, and considerate manner at work.
1.D.2.a	Humility	A tendency to be modest and humble when interacting with others at work.
1.D.2.b	Sincerity	A tendency to be genuine and sincere in interactions with others at work, without concern for personal gain or self-interest.
1.D.2.c	Empathy	A tendency to show concern for others and be sensitive to others' needs and feelings at work.
1.D.2.d	Cooperation	A tendency to be pleasant, helpful, and willing to assist others at work.
1.D.2.e	Optimism	A tendency to exhibit a positive attitude and positive emotions at work, even under difficult circumstances.
1.D.2.f	Social Orientation	A tendency to seek out, enjoy, and be energized by social interaction at work.
1.D.3	Conscientious and Rule Oriented	A tendency to approach work with careful attention to quality, reliability, and ethical standards while maintaining organized and thorough work practices.
1.D.3.a	Cautiousness	A tendency to be careful, deliberate, and risk-avoidant when making work-related decisions or doing work.
1.D.3.b	Attention to Detail	A tendency to be detail-oriented, organized, and thorough in completing work.
1.D.3.c	Dependability	A tendency to be reliable, responsible, and consistent in meeting work-related obligations.
1.D.3.d	Integrity	A tendency to be honest and ethical at work.
1.D.4	Emotionally Resilient	A tendency to maintain emotional stability and cope effectively in the face of adversity, criticism, or high-pressure situations at work.
1.D.4.a	Stress Tolerance	A tendency to cope and function effectively in stressful situations at work.
1.D.4.b	Self-Control	A tendency to remain calm and composed and to manage emotions effectively in response to criticism or difficult situations at work.
2	Worker Requirements	Skills and knowledge people need for work, developed through education and experience.
2.A	Essential Skills	Skills you need for most jobs such as reading, writing, math, and learning.
2.A.1	Foundational Areas	Areas that support learning and applying skills across many types of work.
2.A.1.a	Reading Comprehension	Understanding written sentences and paragraphs in work-related documents.
2.A.1.b	Active Listening	Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times.
2.A.1.c	Writing	Communicating effectively in writing as appropriate for the needs of the audience.
2.A.1.d	Speaking	Talking to others to convey information effectively.
2.A.1.e	Mathematics	Using mathematics to solve problems.
2.A.1.f	Science	Using scientific rules and methods to solve problems.
2.A.2	Ways of Working	Ways of doing work that support learning and building skills.
2.A.2.a	Critical Thinking	Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions, or approaches to problems.
2.A.2.b	Active Learning	Understanding the implications of new information for both current and future problem-solving and decision-making.
2.A.2.c	Learning Strategies	Selecting and using training/instructional methods and procedures appropriate for the situation when learning or teaching new things.
2.A.2.d	Monitoring	Monitoring/Assessing performance of yourself, other individuals, or organizations to make improvements or take corrective action.
2.B	Transferable Skills	Skills you can use across different jobs such as communication, problem solving, and team work.
2.B.1	Social Skills	Skills used to work with others to achieve goals at work.
2.B.1.a	Social Perceptiveness	Being aware of others' reactions and understanding why they react as they do.
2.B.1.b	Coordination	Adjusting actions in relation to others' actions.
2.B.1.c	Persuasion	Persuading others to change their minds or behavior.
2.B.1.d	Negotiation	Bringing others together and trying to reconcile differences.
2.B.1.e	Instructing	Teaching others how to do something.
2.B.1.f	Service Orientation	Actively looking for ways to help people.
2.B.2	Complex Problem Solving Skills	Skills used to solve new and challenging problems at work.
2.B.2.i	Complex Problem Solving	Identifying complex problems and reviewing related information to develop and evaluate options and implement solutions.
2.B.3	Technical Skills	Skills used to design, set up, operate, and fix machines and systems at work.
2.B.3.a	Operations Analysis	Analyzing needs and product requirements to create a design.
2.B.3.b	Technology Design	Generating or adapting equipment and technology to serve user needs.
2.B.3.c	Equipment Selection	Determining the kind of tools and equipment needed to do a job.
2.B.3.d	Installation	Installing equipment, machines, wiring, or programs to meet specifications.
2.B.3.e	Programming	Writing computer programs for various purposes.
2.B.3.g	Operations Monitoring	Watching gauges, dials, or other indicators to make sure a machine is working properly.
2.B.3.h	Operation and Control	Controlling operations of equipment or systems.
2.B.3.j	Equipment Maintenance	Performing routine maintenance on equipment and determining when and what kind of maintenance is needed.
2.B.3.k	Troubleshooting	Determining causes of operating errors and deciding what to do about it.
2.B.3.l	Repairing	Repairing machines or systems using the needed tools.
2.B.3.m	Quality Control Analysis	Conducting tests and inspections of products, services, or processes to evaluate quality or performance.
2.B.4	Systems Skills	Skills used to understand and improve systems at work, such as processes, decision making, or workflows.
2.B.4.e	Judgment and Decision Making	Considering the relative costs and benefits of potential actions to choose the most appropriate one.
2.B.4.g	Systems Analysis	Determining how a system should work and how changes in conditions, operations, and the environment will affect outcomes.
2.B.4.h	Systems Evaluation	Identifying measures or indicators of system performance and the actions needed to improve or correct performance, relative to the goals of the system.
2.B.5	Resource Management Skills	Skills used to manage time, money, materials, and people effectively at work.
2.B.5.a	Time Management	Managing one's own time and the time of others.
2.B.5.b	Management of Financial Resources	Determining how money will be spent to get the work done, and accounting for these expenditures.
2.B.5.c	Management of Material Resources	Obtaining and seeing to the appropriate use of equipment, facilities, and materials needed to do certain work.
2.B.5.d	Management of Personnel Resources	Motivating, developing, and directing people as they work, identifying the best people for the job.
2.C	Knowledge	Information and understanding used across different areas of work.
2.C.1	Business and Management	Knowledge of principles and facts related to business administration and accounting, human and material resource management in organizations, sales and marketing, economics, and office information and organizing systems
2.C.1.a	Administration and Management	Knowledge of business and management principles involved in strategic planning, resource allocation, human resources modeling, leadership technique, production methods, and coordination of people and resources.
2.C.1.b	Administrative	Knowledge of administrative and office procedures and systems such as word processing, managing files and records, stenography and transcription, designing forms, and workplace terminology.
2.C.1.c	Economics and Accounting	Knowledge of economic and accounting principles and practices, the financial markets, banking, and the analysis and reporting of financial data.
2.C.1.d	Sales and Marketing	Knowledge of principles and methods for showing, promoting, and selling products or services. This includes marketing strategy and tactics, product demonstration, sales techniques, and sales control systems.
2.C.1.e	Customer and Personal Service	Knowledge of principles and processes for providing customer and personal services. This includes customer needs assessment, meeting quality standards for services, and evaluation of customer satisfaction.
2.C.1.f	Personnel and Human Resources	Knowledge of principles and procedures for personnel recruitment, selection, training, compensation and benefits, labor relations and negotiation, and personnel information systems.
2.C.2	Manufacturing and Production	Knowledge of principles and facts related to the production, processing, storage, and distribution of manufactured and agricultural goods
2.C.2.a	Production and Processing	Knowledge of raw materials, production processes, quality control, costs, and other techniques for maximizing the effective manufacture and distribution of goods.
2.C.2.b	Food Production	Knowledge of techniques and equipment for planting, growing, and harvesting food products (both plant and animal) for consumption, including storage/handling techniques.
2.C.3	Engineering and Technology	Knowledge of the design, development, and application of technology for specific purposes.
2.C.3.a	Computers and Electronics	Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.
2.C.3.b	Engineering and Technology	Knowledge of the practical application of engineering science and technology. This includes applying principles, techniques, procedures, and equipment to the design and production of various goods and services.
2.C.3.c	Design	Knowledge of design techniques, tools, and principles involved in production of precision technical plans, blueprints, drawings, and models.
2.C.3.d	Building and Construction	Knowledge of materials, methods, and the tools involved in the construction or repair of houses, buildings, or other structures such as highways and roads.
2.C.3.e	Mechanical	Knowledge of machines and tools, including their designs, uses, repair, and maintenance.
2.C.4	Mathematics and Science	Knowledge of the history, theories, methods, and applications of the physical, biological, social, mathematical, and geography
2.C.4.a	Mathematics	Knowledge of arithmetic, algebra, geometry, calculus, statistics, and their applications.
2.C.4.b	Physics	Knowledge and prediction of physical principles, laws, their interrelationships, and applications to understanding fluid, material, and atmospheric dynamics, and mechanical, electrical, atomic and sub-atomic structures and processes.
2.C.4.c	Chemistry	Knowledge of the chemical composition, structure, and properties of substances and of the chemical processes and transformations that they undergo. This includes uses of chemicals and their interactions, danger signs, production techniques, and disposal methods.
2.C.4.d	Biology	Knowledge of plant and animal organisms, their tissues, cells, functions, interdependencies, and interactions with each other and the environment.
2.C.4.e	Psychology	Knowledge of human behavior and performance; individual differences in ability, personality, and interests; learning and motivation; psychological research methods; and the assessment and treatment of behavioral and affective disorders.
2.C.4.f	Sociology and Anthropology	Knowledge of group behavior and dynamics, societal trends and influences, human migrations, ethnicity, cultures, and their history and origins.
2.C.4.g	Geography	Knowledge of principles and methods for describing the features of land, sea, and air masses, including their physical characteristics, locations, interrelationships, and distribution of plant, animal, and human life.
2.C.5	Health Services	Knowledge of principles and facts regarding diagnosing, curing, and preventing disease, and improving and preserving physical and mental health and well-being
2.C.5.a	Medicine and Dentistry	Knowledge of the information and techniques needed to diagnose and treat human injuries, diseases, and deformities. This includes symptoms, treatment alternatives, drug properties and interactions, and preventive health-care measures.
2.C.5.b	Therapy and Counseling	Knowledge of principles, methods, and procedures for diagnosis, treatment, and rehabilitation of physical and mental dysfunctions, and for career counseling and guidance.
2.C.6	Education and Training	Knowledge of principles and methods for curriculum and training design, teaching and instruction for individuals and groups, and the measurement of training effects.
2.C.7	Arts and Humanities	Knowledge of facts and principles related to the branches of learning concerned with human thought, language, and the arts.
2.C.7.a	English Language	Knowledge of the structure and content of the English language including the meaning and spelling of words, and rules of composition and grammar.
2.C.7.b	Foreign Language	Knowledge of the structure and content of a foreign (non-English) language including the meaning and spelling of words, rules of composition and grammar, and pronunciation.
2.C.7.c	Fine Arts	Knowledge of the theory and techniques required to compose, produce, and perform works of music, dance, visual arts, drama, and sculpture.
2.C.7.d	History and Archeology	Knowledge of historical events and their causes, indicators, and effects on civilizations and cultures.
2.C.7.e	Philosophy and Theology	Knowledge of different philosophical systems and religions. This includes their basic principles, values, ethics, ways of thinking, customs, practices, and their impact on human culture.
2.C.8	Law and Public Safety	Knowledge of regulations and methods for maintaining people and property free from danger, injury, or damage; the rules of public conduct established and enforced by legislation, and the political process establishing such rules.
2.C.8.a	Public Safety and Security	Knowledge of relevant equipment, policies, procedures, and strategies to promote effective local, state, or national security operations for the protection of people, data, property, and institutions.
2.C.8.b	Law and Government	Knowledge of laws, legal codes, court procedures, precedents, government regulations, executive orders, agency rules, and the democratic political process.
2.C.9	Communications	Knowledge of the science and art of delivering information
2.C.9.a	Telecommunications	Knowledge of transmission, broadcasting, switching, control, and operation of telecommunications systems.
2.C.9.b	Communications and Media	Knowledge of media production, communication, and dissemination techniques and methods. This includes alternative ways to inform and entertain via written, oral, and visual media.
2.C.10	Transportation	Knowledge of principles and methods for moving people or goods by air, rail, sea, or road, including the relative costs and benefits.
2.D	Education	Education typically required to perform a job.
2.D.1	Required Level of Education	The level of education required to perform a job.
2.D.2	Instructional Program Required	The instructional program required for this job
2.D.3	Education Level in Specific Subjects	The amount of education required in 15 subject areas to perform in a job. Subject areas cover most of the courses that occur in high school, junior college, college undergraduate degree programs, and other education and training programs
2.D.3.a	Technical Vocational	Courses focus on non-business technical skills, such as Agriculture, Industrial Arts, Automobile and Shop, and Electronics
2.D.3.b	Business Vocational	Courses focus on basic business skills, such as Word Processing, Filing, Bookkeeping/Basic Accounting
2.D.3.c	English/language Arts	Courses focus on reading, interpretation, and writing, such as Literature, Composition, Journalism, and Creative Writing
2.D.3.d	Oral Communication	Courses focus on oral communication and speech, such as Oral Communication, Speech, and Interpersonal Communication
2.D.3.e	Languages	Courses focus on reading, writing, and/or speaking languages other than English, such as French, Chinese, German, Japanese, Latin, Russian, and Spanish
2.D.3.f	Basic Math	Courses focus on basic and applied math, such as General Math and Business Math
2.D.3.g	Advanced Math	Courses focus on advanced topics in math, such as Algebra, Geometry, Calculus, and Statistics
2.D.3.h	Physical Science	Courses focus on the study of matter and/or energy, such as Physics, Chemistry, and Astronomy
2.D.3.i	Computer Science	Courses focus on computers and their uses, such as Programming, Information Systems Management, and Software Applications
2.D.3.j	Biological Science	Courses focus on the study of life and living beings, such as life science, biology, anatomy and physiology
2.D.3.k	Applied Science	Courses focus on the application of science, such as Engineering, Health, and Medicine
2.D.3.l	Social Science	Courses focus on the behavioral sciences, such as Social Studies, Economics, History, Psychology, and Sociology
2.D.3.m	Arts	Courses focus on visual and performing arts, such as Arts and Crafts, Music, Painting, Sculpture, Theater, and Voice
2.D.3.n	Humanities	Courses focus on cultural and philosophical aspects of humans, such as Minority Studies, Philosophy, and Religion
2.D.3.o	Physical Education	Courses focus on physical fitness and sports, such as Aerobics, Jogging, Weight Lifting, and Specific Sports
2.D.4	Job-Related Professional Certification	Certification: A credential awarded by a certification body based on an individual demonstrating through an examination process that he or she has acquired the designated knowledge, skills, and abilities to perform a specific job.
2.D.4.a	Job-Related Professional Certification	Possession of an occupational or industry certification to perform the job.
2.E	Software Skills	Using specific programs and applications for work tasks.
2.E.1	Business function specific software	Software to manage business operations, including project management, sales, or logistics.
2.E.1.a	Helpdesk or call center software	Software to enable help desk or call center operations.
2.E.1.b	Procurement software	Software to manage contracts or agreements with suppliers, negotiate conditions, or buy products or services.
2.E.1.c	Human resources software	Software to manage employee evaluations, track wages or absenteeism, maintain safety records, or manage hours or time off.
2.E.1.d	Materials requirements planning logistics and supply chain software	Software to manage, monitor, or optimize the flow of goods or services from an origin point to a destination.
2.E.1.e	Project management software	Software to plan, organize, staff, or control the completion of a product or set of tasks.
2.E.1.f	Inventory management software	Software to maintain the inventory of businesses including restaurants or retail shops.
2.E.1.g	Bar coding software	Software to interpret, print, or create bar codes for identifying commercial products or parts.
2.E.1.h	Label making software	Software to create or print custom labels with text or graphics.
2.E.1.i	Expert system software	Software to solve complex problems by applying rules to a set of known facts.
2.E.1.j	License management software	Software to manage or monitor the use of software with license restrictions. May track the number of copies in use or computer hardware configurations.
2.E.1.k	Office suite software	Software to provide word processing, spreadsheet, e-mail, presentations, or data management capabilities.
2.E.1.l	Sales and marketing software	Software to manage, plan, analyze, or automate marketing campaigns, content creation, or social media interactions.
2.E.1.m	Mailing and shipping software	Software to print postage stamps or shipping labels, or manage pickup or delivery of shipments.
2.E.1.n	Audit software	Software to manage internal company audits or controls. May analyze or extract data, detect forgeries, or provide ongoing monitoring.
