O*NET-SOC Code	Task	Category	Original Task ID	Original Task	Date	Domain Source
17-2041.00	Develop process flow diagrams or pipe and instrumentation diagrams.	New	n/a	n/a	08/2025	Occupational Expert
17-2051.00	Use drone technology for site surveying, inspection, and monitoring of infrastructure projects.	New	n/a	n/a	05/2025	AI/SME
17-2051.01	Develop plans for integration of drone technology into transportation systems for purposes such as delivery of goods or traffic monitoring.	New	n/a	n/a	05/2025	AI/SME
17-2111.02	Develop or modify building codes and fire codes.	New	n/a	n/a	08/2025	Occupational Expert
17-2111.02	Perform testing on fire protection equipment or building features, such as fire doors or smoke control systems.	New	n/a	n/a	08/2025	Occupational Expert
17-2111.02	Review building plans to verify compliance with fire and building codes.	Revision	24004	Review building plans to verify compliance with fire code.	08/2025	Occupational Expert
17-2112.01	Assess systems to identify and quantify risk factors.	New	n/a	n/a	08/2024	Occupational Expert
17-2121.00	Develop plans for safely drydocking vessels, including structural integrity, block loading, and stability.	New	n/a	n/a	08/2025	Occupational Expert
17-2141.00	Investigate equipment failures or diagnose faulty operations and recommend or perform remedial actions.	Revision	20734	Investigate equipment failures or difficulties to diagnose faulty operation and recommend remedial actions.	08/2024	Incumbent
17-2151.00	Use drone technology for aerial surveys and inspections of mining sites to enhance safety and efficiency.	New	n/a	n/a	05/2025	AI/SME
17-2161.00	Recommend preventive measures to be taken in handling nuclear technology based on data obtained from operations monitoring, systematic analysis, or evaluation of test results.	Revision	5386	Recommend preventive measures to be taken in the handling of nuclear technology, based on data obtained from operations monitoring or from evaluation of test results.	08/2024	Occupational Expert
17-2171.00	Use drone technology for aerial surveying and monitoring of drilling sites.	New	n/a	n/a	05/2025	AI/SME
17-2199.10	Analyze meteorological data.	New	n/a	n/a	07/2012	Incumbent
17-2199.10	Design electrical interconnections.	New	n/a	n/a	07/2012	Incumbent
17-2199.10	Design wind turbine components.	New	n/a	n/a	07/2012	Incumbent
17-2199.10	Estimate energy production by analyzing wind data.	New	n/a	n/a	07/2012	Incumbent
17-3011.00	Use drone technology to capture aerial views and topographical data for civil engineering projects.	New	n/a	n/a	05/2025	AI/SME
17-3013.00	Create bills of materials.	New	n/a	n/a	07/2017	Incumbent
17-3021.00	Operate, test, and troubleshoot uncrewed aerial systems, commonly known as drones, to ensure optimal performance.	New	n/a	n/a	05/2025	AI/SME
17-3022.00	Operate drones for site surveying and inspection, providing detailed aerial views of project sites.	New	n/a	n/a	05/2025	AI/SME
17-3024.00	Program and calibrate drones for specific missions or tasks, ensuring proper functionality and performance.	New	n/a	n/a	05/2025	AI/SME
17-3029.01	Operate drones for remote inspection of large or hard-to-reach structures, such as wind turbines, bridges, or tall buildings.	New	n/a	n/a	05/2025	AI/SME
17-3031.00	Use drone technology to capture aerial images or videos for creating detailed and accurate maps.	New	n/a	n/a	05/2025	AI/SME
19-1012.00	Test processing equipment to ensure products are produced according to specifications.	New	n/a	n/a	08/2025	Occupational Expert
19-1021.00	Analyze biochemical or biophysical data.	New	n/a	n/a	08/2020	Occupational Expert
19-1022.00	Perform tests on water, food, and the environment to detect harmful microorganisms or to obtain information about sources of pollution, contamination, or infection and interpret the results.	Revision	15213	Monitor and perform tests on water, food, and the environment to detect harmful microorganisms or to obtain information about sources of pollution, contamination, or infection.	08/2024	Occupational Expert
19-1023.00	Use advanced technologies, such as GIS, remote sensing, and drone technology, for wildlife tracking, habitat mapping, and population studies.	New	n/a	n/a	05/2025	AI/SME
19-1029.04	Inventory and order lab supplies.	New	n/a	n/a	08/2025	Incumbent
19-1031.02	Apply herbicide to eliminate harmful plants.	New	n/a	n/a	08/2020	Incumbent
19-1031.03	Train staff and volunteers on park programs.	Revision	23959	Train staff on park programs.	08/2023	Incumbent
19-1041.00	Teach epidemiology to students in public health programs.	New	n/a	n/a	08/2023	Occupational Expert
19-2011.00	Write and review scientific proposals and research papers.	Revision	20049	Review scientific proposals and research papers.	08/2024	Occupational Expert
19-2012.00	Perform peer reviews of scientific papers.	New	n/a	n/a	08/2020	Incumbent
19-2032.00	Research or design methods of processing, forming, and firing materials to develop products, such as ceramic dental fillings, unbreakable dinner plates, and telescope lenses.	Revision	9094	Research methods of processing, forming, and firing materials to develop such products as ceramic dental fillings, unbreakable dinner plates, and telescope lenses.	08/2024	Occupational Expert
19-2032.00	Review and select materials for products to meet product design and cost requirements.	New	n/a	n/a	08/2024	Occupational Expert
19-2041.03	Conduct life cycle assessments of products.	New	n/a	n/a	08/2021	Occupational Expert
19-2043.00	Prepare reports or presentations describing research results, using illustrations, maps, appendices, and other information.	Revision	18618	Prepare written and oral reports describing research results, using illustrations, maps, appendices, and other information.	08/2018	Occupational Expert
19-2099.01	Develop protocols and procedures for planning and executing drone-based remote sensing missions to ensure they comply with standards and requirements.	New	n/a	n/a	05/2025	AI/SME
19-3011.00	Construct and manage economic datasets.	New	n/a	n/a	08/2024	Occupational Expert
19-3011.00	Present research at seminars and conferences.	New	n/a	n/a	08/2024	Occupational Expert
19-3011.00	Review documents written by others, such as referee reports.	Revision	23988	Review documents written by others.	08/2024	Occupational Expert
19-3032.00	Develop and administer surveys to employees of organizations.	New	n/a	n/a	08/2023	Occupational Expert
19-3032.00	Teach industrial-organizational psychology courses to undergraduate or graduate students.	New	n/a	n/a	08/2023	Occupational Expert
19-3039.03	Provide feedback to patients and their families on the results of neuropsychological evaluations and recommendations.	New	n/a	n/a	08/2024	Occupational Expert
19-3041.00	Mentor sociology students.	New	n/a	n/a	08/2023	Occupational Expert
19-3041.00	Review sociological research and articles.	New	n/a	n/a	08/2023	Occupational Expert
19-3091.00	Write, present, and publish research findings for a variety of specialized and general audiences.	Revision	22234	Write about and present research findings for a variety of specialized and general audiences.	08/2024	Occupational Expert
19-3093.00	Coordinate artifact donations on behalf of a museum.	New	n/a	n/a	08/2025	Incumbent
19-3093.00	Create and revise scripts for the tour guides.	New	n/a	n/a	08/2025	Incumbent
19-3093.00	Write policies and procedures for archival collection care and research protocols.	New	n/a	n/a	08/2025	Incumbent
19-4012.01	Operate drone technology to capture aerial imagery and data for crop monitoring and analysis.	New	n/a	n/a	05/2025	AI/SME
19-4051.02	Calibrate, maintain, and repair chemical instrumentation sensing elements and sampling system equipment, using calibration instruments and hand tools.	Revision	7608	Calibrate and maintain chemical instrumentation sensing elements and sampling system equipment, using calibration instruments and hand tools.	07/2014	Incumbent
19-4051.02	Document results from radiation and contamination surveys.	New	n/a	n/a	07/2014	Incumbent
19-4051.02	Inspect, test, and maintain respiratory protection equipment.	New	n/a	n/a	07/2014	Incumbent
19-4051.02	Write radiological work permits.	New	n/a	n/a	07/2014	Incumbent
19-4061.00	Write grant proposals.	New	n/a	n/a	08/2019	Incumbent
19-4071.00	Develop contracts related to operations.	New	n/a	n/a	08/2018	Incumbent
19-4071.00	Monitor environmental conditions such as temperature or humidity.	New	n/a	n/a	08/2018	Incumbent
19-4071.00	Operate and manage drone technology for aerial surveys and mapping, wildlife monitoring, and forest health assessments.	New	n/a	n/a	05/2025	AI/SME
19-4071.00	Write reports on forestry or conservation activities.	New	n/a	n/a	08/2018	Incumbent
19-4092.00	Enter data into databases.	New	n/a	n/a	08/2023	Incumbent
19-4092.00	Operate drones to capture aerial footage or photographs of crime scenes for further analysis.	New	n/a	n/a	05/2025	AI/SME
19-4099.03	Operate remote sensing equipment on drones to collect data in areas that are difficult to access or require high-resolution imagery.	New	n/a	n/a	05/2025	AI/SME
21-1013.00	Diagnose mental and emotional disorders in clients.	New	n/a	n/a	08/2020	Incumbent
21-1014.00	Guide clients in the development of skills or strategies for dealing with their problems and coping with triggering factors.	Revision	1593	Guide clients in the development of skills or strategies for dealing with their problems.	08/2025	Occupational Expert
21-1014.00	Respond to client communications by monitoring voicemail and email, returning phone calls, and making follow-up calls for missed appointments.	New	n/a	n/a	08/2025	Occupational Expert
21-1022.00	Conduct psychological assessment of clients.	New	n/a	n/a	08/2021	Occupational Expert
21-1093.00	Teach parenting techniques to family members.	New	n/a	n/a	08/2020	Incumbent
23-1023.00	Issue search or arrest warrants.	Revision	21182	Issue arrest warrants.	08/2020	Incumbent
23-2011.00	Manage attorneys' calendars and schedule meetings.	New	n/a	n/a	08/2024	Incumbent
23-2011.00	Request, review, and summarize relevant records for the cases.	New	n/a	n/a	08/2024	Incumbent
25-1022.00	Hire adjunct faculty.	New	n/a	n/a	08/2019	Incumbent
25-1042.00	Write letters of recommendation for students.	New	n/a	n/a	08/2019	Incumbent
25-1043.00	Monitor research program budgets.	New	n/a	n/a	08/2020	Incumbent
25-1051.00	Prepare and deliver lectures to undergraduate or graduate students on topics such as structural geology, micrometeorology, atmospheric thermodynamics, and physics.	Revision	5849	Prepare and deliver lectures to undergraduate or graduate students on topics such as structural geology, micrometeorology, and atmospheric thermodynamics.	08/2019	Incumbent
25-1054.00	Review articles to determine their suitability for publication.	New	n/a	n/a	08/2019	Incumbent
25-1066.00	Mentor other faculty members.	New	n/a	n/a	08/2019	Incumbent
25-1067.00	Give presentations to community groups.	New	n/a	n/a	08/2019	Incumbent
25-1067.00	Review manuscripts.	New	n/a	n/a	08/2019	Incumbent
25-1067.00	Write letters of recommendation for students.	New	n/a	n/a	08/2019	Incumbent
25-1081.00	Deliver presentations at professional conferences.	New	n/a	n/a	08/2019	Incumbent
25-1082.00	Serve as a mentor.	New	n/a	n/a	08/2019	Incumbent
25-1121.00	Direct theater productions.	New	n/a	n/a	08/2019	Incumbent
25-1121.00	Mentor students.	New	n/a	n/a	08/2019	Incumbent
25-1125.00	Evaluate faculty members.	New	n/a	n/a	08/2019	Incumbent
25-1193.00	Monitor department budgets.	New	n/a	n/a	08/2019	Incumbent
25-2057.00	Track students' progress on computer-based programs, such as reading fluency and comprehension.	New	n/a	n/a	08/2025	Incumbent
25-2058.00	Monitor students using personal electronics or school-issued technology.	New	n/a	n/a	08/2025	Incumbent
25-2059.01	Discuss with education professionals the physical abilities or disabilities of students and the accommodations required to enhance their school performance.	Revision	17015	Advise education professionals of students' physical abilities or disabilities and the accommodations required to enhance their school performance.	08/2020	Occupational Expert
25-3031.00	Provide teachers with notes summarizing the day's activities and feedback on any issues or events that occurred.	New	n/a	n/a	08/2025	Incumbent
25-4011.00	Write grants and apply for funding to support archival work.	New	n/a	n/a	08/2024	Occupational Expert
25-4031.00	Open and close the library.	New	n/a	n/a	07/2017	Incumbent
25-9044.00	Correspond with students through email to address their questions and concerns.	New	n/a	n/a	07/2016	Incumbent
27-1025.00	Review contractor bids to subcontract fabrication, installation, and arrangement of carpeting, fixtures, accessories, draperies, paint and wall coverings, art work, furniture, and related items.	Revision	1739	Subcontract fabrication, installation, and arrangement of carpeting, fixtures, accessories, draperies, paint and wall coverings, art work, furniture, and related items.	08/2024	Occupational Expert
27-2012.05	Coordinate the use of drone technology for aerial filming and photography.	New	n/a	n/a	05/2025	AI/SME
27-2032.00	Plan and direct rehearsals to instruct dancers in dance steps and in techniques to achieve desired effects.	Revision	11028	Direct rehearsals to instruct dancers in dance steps and in techniques to achieve desired effects.	08/2024	Occupational Expert
27-3041.00	Respond to questions from the public.	New	n/a	n/a	07/2017	Incumbent
27-3041.00	Write text, such as headlines, stories, articles, editorials, or newsletters.	Revision	21000	Write text, such as stories, articles, editorials, or newsletters.	07/2017	Incumbent
27-3092.00	File exhibits.	New	n/a	n/a	08/2020	Incumbent
27-3092.00	Perform secretarial tasks for the court.	New	n/a	n/a	08/2020	Incumbent
27-3092.00	Swear in witnesses.	New	n/a	n/a	08/2020	Incumbent
27-4011.00	Operate drones for aerial videography and photography during live events or for pre-recorded material.	New	n/a	n/a	05/2025	AI/SME
27-4011.00	Purchase audio or video equipment.	New	n/a	n/a	08/2018	Incumbent
27-4012.00	Develop budgets.	New	n/a	n/a	08/2019	Incumbent
27-4021.00	Engage in research to learn technological developments and techniques or to develop new photographic procedures and materials.	Revision	9363	Engage in research to develop new photographic procedures and materials.	08/2021	Occupational Expert
27-4021.00	Operate drones to capture aerial photographs and videos, following all regulatory guidelines.	New	n/a	n/a	05/2025	AI/SME
27-4031.00	Operate drones to capture aerial or unique angle footage for film, television, or video productions.	New	n/a	n/a	05/2025	AI/SME
27-4032.00	Write scripts.	New	n/a	n/a	08/2020	Incumbent
29-1011.00	Provide guidance to patients on exercises they can perform to improve mobility.	New	n/a	n/a	07/2013	Incumbent
29-1011.00	Take x-rays.	New	n/a	n/a	07/2013	Incumbent
29-1022.00	Evaluate and treat problems related to the temperomandibular joint (TMJ).	New	n/a	n/a	07/2012	Incumbent
29-1024.00	Consult with patients about treatment options.	New	n/a	n/a	08/2024	Incumbent
29-1024.00	Create treatment plans for patients.	New	n/a	n/a	08/2024	Incumbent
29-1071.00	Refer patients to other healthcare providers.	New	n/a	n/a	08/2021	Occupational Expert
29-1122.00	Recommend adaptive equipment to individuals to increase independence in daily living activities.	New	n/a	n/a	08/2021	Occupational Expert
29-1126.00	Attend high-risk and caesarian section infant deliveries to provide neonatal respiratory care as needed.	New	n/a	n/a	07/2013	Incumbent
29-1141.02	Mentor nursing students.	New	n/a	n/a	08/2023	Occupational Expert
29-1141.04	Develop and evaluate work processes based on evidence-based standards.	New	n/a	n/a	08/2025	Occupational Expert
29-1161.00	Evaluate mental health of patients.	New	n/a	n/a	08/2021	Occupational Expert
29-1161.00	Screen patients for gynecologic conditions such as infections.	New	n/a	n/a	08/2021	Occupational Expert
29-1211.00	Place invasive intravascular monitors into patients.	New	n/a	n/a	07/2012	Incumbent
29-1211.00	Teach anesthesiology principles to residents.	New	n/a	n/a	07/2012	Incumbent
29-1214.00	Consult and direct other medical personnel on patient care.	New	n/a	n/a	08/2025	Occupational Expert
29-1214.00	Process patient transfers to and from other hospitals.	New	n/a	n/a	08/2025	Occupational Expert
29-1223.00	Perform mental health evaluations to provide information to courts of law on patients' mental states.	New	n/a	n/a	07/2014	Incumbent
29-2011.00	Conduct blood typing and antibody screening.	New	n/a	n/a	08/2025	Incumbent
29-2011.04	Cut sections of body tissues for microscopic examination, using microtomes or cryostats.	Revision	22780	Cut sections of body tissues for microscopic examination, using microtomes.	08/2024	Occupational Expert
29-2011.04	Select and maintain controls for stains.	New	n/a	n/a	08/2024	Occupational Expert
29-2012.00	Perform quality control analyses to ensure accuracy of test results.	New	n/a	n/a	07/2014	Incumbent
29-2012.01	Load slides onto staining equipment.	New	n/a	n/a	08/2025	Occupational Expert
29-2031.00	Perform general administrative tasks, such as answering telephones, scheduling appointments, or ordering supplies or equipment.	Revision	15234	Perform general administrative tasks, such as scheduling appointments or ordering supplies or equipment.	07/2014	Incumbent
29-2033.00	Schedule patients for nuclear medicine exams and procedures.	New	n/a	n/a	07/2013	Incumbent
29-2055.00	Schedule surgical procedures for patients.	New	n/a	n/a	07/2013	Incumbent
29-2055.00	Transport patients to and from the operating room.	New	n/a	n/a	07/2013	Incumbent
29-2057.00	Order supplies.	New	n/a	n/a	08/2020	Occupational Expert
29-2057.00	Perform examinations using ophthalmic equipment, such as autorefractors, phoropters, tomographs, or retinoscopes.	Revision	19250	Operate ophthalmic equipment, such as autorefractors, phoropters, tomographs, or retinoscopes.	08/2020	Occupational Expert
29-9091.00	Develop emergency action plans for sports facilities.	New	n/a	n/a	08/2021	Incumbent
29-9099.01	Test patients for sexually transmitted infections.	New	n/a	n/a	08/2021	Incumbent
31-1121.00	Assist patients with toileting and incontinent care.	New	n/a	n/a	07/2014	Incumbent
31-1121.00	Feed patients.	New	n/a	n/a	07/2014	Incumbent
31-1122.00	Administer bedside or personal care, such as assistance with ambulation, dressing, feeding, or personal hygiene.	Revision	2370	Administer bedside or personal care, such as ambulation or personal hygiene assistance.	08/2023	Incumbent
31-2012.00	Sanitize equipment.	New	n/a	n/a	08/2020	Incumbent
31-9093.00	Order medical supplies for healthcare facilities or laboratories.	New	n/a	n/a	07/2014	Incumbent
31-9097.00	Confirm the identities of patients by verifying their personal information.	New	n/a	n/a	08/2019	Occupational Expert
33-1012.00	Read and review subordinates' reports to ensure legal standards are met and there are no mistakes.	New	n/a	n/a	08/2024	Incumbent
33-1021.00	Deploy and monitor drones for aerial surveillance and assessment of fire situations.	New	n/a	n/a	05/2025	AI/SME
33-2022.00	Operate drones to monitor and assess fire conditions, track fire progress, and identify safe access points for firefighters.	New	n/a	n/a	05/2025	AI/SME
33-3012.00	Conduct security checks of the premises.	New	n/a	n/a	08/2023	Incumbent
33-3021.00	Operate drones for aerial surveillance or to gather evidence from difficult to reach locations.	New	n/a	n/a	05/2025	AI/SME
33-3021.02	Use drone technology for aerial photography and videography of crime scenes.	New	n/a	n/a	05/2025	AI/SME
33-3021.06	Make recommendations for investigations and subpoenas.	New	n/a	n/a	08/2024	Occupational Expert
33-3031.00	Operate drones for surveillance of large areas and tracking of wildlife.	New	n/a	n/a	05/2025	AI/SME
33-3041.00	Perform traffic control duties such as setting up barricades and temporary signs, placing bags on parking meters to limit their use, or directing traffic or pedestrians.	Revision	7949	Perform traffic control duties such as setting up barricades and temporary signs, placing bags on parking meters to limit their use, or directing traffic.	07/2016	Incumbent
33-9011.00	Deliver educational presentations on wildlife topics, such as animal safety, at schools and community events.	New	n/a	n/a	08/2025	Occupational Expert
33-9011.00	Pick up deceased animals from roadways and dispose of the animal carcasses.	New	n/a	n/a	08/2025	Occupational Expert
33-9011.00	Testify at court hearings when citations are contested.	New	n/a	n/a	08/2025	Occupational Expert
33-9011.00	Transport injured or ill wildlife to rescues.	New	n/a	n/a	08/2025	Occupational Expert
33-9021.00	Serve documents to parties named in legal proceedings.	New	n/a	n/a	07/2015	Incumbent
33-9021.00	Use advanced technology, such as drones, GPS trackers, and surveillance cameras, to facilitate investigations.	New	n/a	n/a	05/2025	AI/SME
33-9099.02	Use drone technology for surveillance and loss prevention.	New	n/a	n/a	05/2025	AI/SME
35-2011.00	Take out garbage.	New	n/a	n/a	08/2019	Incumbent
35-2021.00	Check and log refrigerator, freezer, and cooler temperatures.	New	n/a	n/a	08/2024	Incumbent
35-3011.00	Provide customers with directions or answers to questions.	New	n/a	n/a	07/2017	Incumbent
35-3023.00	Check and monitor food temperatures while cooking.	New	n/a	n/a	08/2025	Incumbent
35-3031.00	Check with customers to see if they want to apply any rewards to their purchase.	New	n/a	n/a	08/2025	Incumbent
35-3031.00	Perform routine tasks, such as refilling syrups, sanitizer bottles, and other essential supplies.	New	n/a	n/a	08/2025	Incumbent
35-9011.00	Prepare food, such as sandwiches, for customers.	New	n/a	n/a	08/2021	Incumbent
35-9021.00	Clean and sanitize the dining area, including tables.	New	n/a	n/a	08/2025	Incumbent
37-1012.00	Repair irrigation systems.	New	n/a	n/a	08/2021	Incumbent
37-3011.00	Move furniture.	New	n/a	n/a	07/2015	Incumbent
37-3012.00	Establish driving routes for pesticide applications.	New	n/a	n/a	07/2015	Incumbent
37-3012.00	Record information about pesticide applications, such as the type used and amount applied.	New	n/a	n/a	07/2015	Incumbent
37-3012.00	Use new technology and equipment, such as drones or GPS systems, to apply pesticides more accurately and efficiently.	New	n/a	n/a	05/2025	AI/SME
39-2011.00	Teach owners how to train their dogs.	New	n/a	n/a	07/2014	Incumbent
39-2011.00	Teach people with visual impairments to use guide dogs.	New	n/a	n/a	07/2014	Incumbent
39-2021.00	Scuba dive in aquariums to perform exhibit maintenance.	New	n/a	n/a	08/2019	Incumbent
39-2021.00	Train volunteers and facility staff.	New	n/a	n/a	08/2019	Incumbent
39-3012.00	Provide race or game information to patrons.	New	n/a	n/a	07/2014	Incumbent
39-3012.00	Serve drinks to patrons.	New	n/a	n/a	07/2014	Incumbent
39-3021.00	Download digital keys to unlock digital movie files.	New	n/a	n/a	08/2020	Incumbent
39-3021.00	Ingest digital content, such as films, advertisements, or trailers, into servers or projectors.	New	n/a	n/a	08/2020	Incumbent
39-3092.00	Create patterns for costumes based on designer's drawings.	New	n/a	n/a	07/2016	Incumbent
39-3092.00	Schedule costume fittings for actors.	New	n/a	n/a	07/2016	Incumbent
39-3093.00	Maintain or repair athletic equipment.	New	n/a	n/a	07/2011	Incumbent
39-5091.00	Clean and sanitize supplies, such as makeup brushes.	Revision	24008	Clean supplies such as makeup brushes.	08/2025	Occupational Expert
39-5093.00	Assist hair stylists with chemical services, such as neutralizing perms and applying hair color.	New	n/a	n/a	06/2008	Incumbent
39-5093.00	Launder and fold the towels that are used for drying customers' hair.	New	n/a	n/a	06/2008	Incumbent
39-5093.00	Refill and stock work stations with supplies, such as shampoos and conditioners.	New	n/a	n/a	06/2008	Incumbent
39-5093.00	Rinse out hair color or permanent solutions from customers' hair.	New	n/a	n/a	06/2008	Incumbent
39-5093.00	Sweep hair from the salon floor.	New	n/a	n/a	06/2008	Incumbent
39-9031.00	Adjust workout programs and provide variations to address injuries or muscle soreness.	New	n/a	n/a	08/2025	Occupational Expert
39-9041.00	Advise student organizations.	New	n/a	n/a	08/2019	Incumbent
41-4011.07	Log client information and sales leads into tracking documents or software.	New	n/a	n/a	08/2024	Incumbent
41-9091.00	Contact customers to ensure their satisfaction with products or services.	New	n/a	n/a	08/2018	Occupational Expert
41-9091.00	Train new recruits or other employees.	New	n/a	n/a	08/2018	Occupational Expert
43-4121.00	Hire library staff such as student assistants.	New	n/a	n/a	08/2018	Incumbent
43-4171.00	Enter and update databases of contact information, such as names, addresses, and phone numbers.	New	n/a	n/a	08/2023	Incumbent
43-5041.00	Dig dirt away from meters to take readings.	New	n/a	n/a	07/2016	Incumbent
