O*NET-SOC Code	Workplace Example	Element ID	Element Name	Hot Technology	In Demand
11-1011.00	Structured query language SQL	2.E.6.f	Data base user interface and query software	Y	N
11-1011.00	Web browser software	2.E.10.e	Internet browser software	N	N
11-1011.03	Adobe Acrobat	2.E.5.b	Document management software	Y	N
11-1011.03	Adobe Photoshop	2.E.4.b	Graphics or photo imaging software	Y	N
11-1011.03	Email software	2.E.16.a	Electronic mail software	N	N
11-1011.03	Facebook	2.E.4.g	Web page creation and editing software	Y	N
11-1011.03	Management information systems MIS	2.E.2.b	Enterprise resource planning ERP software	N	N
11-1011.03	Microsoft Access	2.E.6.f	Data base user interface and query software	Y	N
11-1011.03	Microsoft Dynamics GP	2.E.2.b	Enterprise resource planning ERP software	N	N
11-1011.03	Microsoft Excel	2.E.4.i	Spreadsheet software	Y	Y
11-1011.03	Microsoft Office software	2.E.1.k	Office suite software	Y	Y
11-1011.03	Microsoft Outlook	2.E.16.a	Electronic mail software	Y	Y
11-1011.03	Microsoft PowerPoint	2.E.4.f	Presentation software	Y	Y
11-1011.03	Microsoft Project	2.E.1.e	Project management software	Y	N
11-1011.03	Microsoft SharePoint	2.E.5.b	Document management software	Y	N
11-1011.03	Microsoft Word	2.E.4.d	Word processing software	Y	N
11-1011.03	Salesforce software	2.E.6.c	Customer relationship management CRM software	Y	N
11-1011.03	SAP software	2.E.2.b	Enterprise resource planning ERP software	Y	N
11-1011.03	Scheduling software	2.E.4.h	Calendar and scheduling software	N	N
11-1011.03	Structure query language SQL	2.E.6.f	Data base user interface and query software	N	N
11-1011.03	Tableau	2.E.6.m	Business intelligence and data analysis software	Y	N
11-1011.03	Teleconferencing software	2.E.16.b	Video conferencing software	N	N
11-1011.03	Web browser software	2.E.10.e	Internet browser software	N	N
11-1021.00	Act!	2.E.6.c	Customer relationship management CRM software	N	N
11-1021.00	ActionWare	2.E.6.c	Customer relationship management CRM software	N	N
11-1021.00	Adobe Acrobat	2.E.5.b	Document management software	Y	N
11-1021.00	Adobe Creative Cloud software	2.E.4.b	Graphics or photo imaging software	Y	N
11-1021.00	Adobe Photoshop	2.E.4.b	Graphics or photo imaging software	Y	N
11-1021.00	ADP Workforce Now	2.E.1.c	Human resources software	N	N
11-1021.00	Airtable	2.E.6.f	Data base user interface and query software	N	N
11-1021.00	Amazon Web Services AWS software	2.E.6.f	Data base user interface and query software	Y	N
11-1021.00	AMG Teleran SalesInSync	2.E.6.c	Customer relationship management CRM software	N	N
11-1021.00	Apache Hadoop	2.E.6.d	Data base management system software	Y	N
11-1021.00	Apple Final Cut Pro	2.E.4.c	Video creation and editing software	N	N
11-1021.00	Apple Keynote	2.E.4.f	Presentation software	N	N
11-1021.00	Apple macOS	2.E.13.c	Operating system software	Y	N
11-1021.00	Atlassian Confluence	2.E.1.e	Project management software	Y	N
11-1021.00	Atlassian JIRA	2.E.5.a	Content workflow software	Y	N
11-1021.00	Autodesk AutoCAD	2.E.9.c	Computer aided design CAD software	Y	N
11-1021.00	Avidian Technologies Prophet	2.E.6.c	Customer relationship management CRM software	N	N
11-1021.00	Blackbaud The Raiser's Edge	2.E.6.c	Customer relationship management CRM software	N	N
11-1021.00	Blackboard software	2.E.6.f	Data base user interface and query software	N	N
11-1021.00	Citrix cloud computing software	2.E.12.a	Access software	N	N
11-1021.00	CNC Mastercam	2.E.9.k	Computer aided manufacturing CAM software	N	N
11-1021.00	Customer information control system CICS	2.E.6.l	Transaction server software	N	N
11-1021.00	Database software	2.E.6.f	Data base user interface and query software	N	N
11-1021.00	Datawatch Monarch	2.E.6.g	Data mining software	N	N
11-1021.00	Deacom ERP	2.E.2.b	Enterprise resource planning ERP software	N	N
11-1021.00	Delphi Technology	2.E.2.d	Financial analysis software	N	N
11-1021.00	Dropbox	2.E.16.i	Cloud-based data access and sharing software	N	N
11-1021.00	Dynamic Energy Systems MedAct	2.E.9.i	Medical software	N	N
11-1021.00	Eko	2.E.10.b	Desktop communications software	N	N
11-1021.00	Evernote	2.E.4.d	Word processing software	N	N
11-1021.00	Extensible markup language XML	2.E.7.c	Enterprise application integration software	Y	N
11-1021.00	Facebook	2.E.4.g	Web page creation and editing software	Y	N
11-1021.00	FileMaker Pro	2.E.6.f	Data base user interface and query software	N	N
11-1021.00	Flipgrid	2.E.4.c	Video creation and editing software	N	N
11-1021.00	Fund accounting software	2.E.2.a	Accounting software	N	N
11-1021.00	Geographic information system GIS software	2.E.8.h	Geographic information system	N	N
11-1021.00	Google Ads	2.E.1.l	Sales and marketing software	N	N
11-1021.00	Google Analytics	2.E.6.g	Data mining software	Y	N
11-1021.00	Google Docs	2.E.4.d	Word processing software	Y	N
11-1021.00	Google Drive	2.E.16.i	Cloud-based data access and sharing software	N	N
11-1021.00	Google Slides	2.E.4.f	Presentation software	N	N
11-1021.00	GroupMe	2.E.16.d	Instant messaging software	N	N
11-1021.00	HEAT Software GoldMine	2.E.6.c	Customer relationship management CRM software	N	N
11-1021.00	HubSpot software	2.E.1.l	Sales and marketing software	Y	N
11-1021.00	Human resource management software HRMS	2.E.1.c	Human resources software	N	N
11-1021.00	IBM Cognos Impromptu	2.E.6.m	Business intelligence and data analysis software	N	N
11-1021.00	IBM Domino	2.E.12.b	Communications server software	N	N
11-1021.00	IBM InfoSphere DataStage	2.E.7.c	Enterprise application integration software	N	N
11-1021.00	IBM Notes	2.E.16.a	Electronic mail software	N	N
11-1021.00	IBM Power Systems software	2.E.17.a	Enterprise system management software	N	N
11-1021.00	IBM SPSS Statistics	2.E.9.d	Analytical or scientific software	Y	N
11-1021.00	InnQuest Software roomMaster	2.E.9.b	Facilities management software	N	N
11-1021.00	Intuit QuickBooks	2.E.2.a	Accounting software	Y	N
11-1021.00	Job control language JCL	2.E.13.c	Operating system software	N	N
11-1021.00	Kronos Workforce Payroll	2.E.2.e	Time accounting software	N	N
11-1021.00	Kronos Workforce Timekeeper	2.E.2.e	Time accounting software	Y	N
11-1021.00	LexisNexis	2.E.6.h	Information retrieval or search software	N	N
11-1021.00	LinkedIn	2.E.4.g	Web page creation and editing software	N	N
11-1021.00	LSA Visual Easy Lean	2.E.1.d	Materials requirements planning logistics and supply chain software	N	N
11-1021.00	Marketo Marketing Automation	2.E.1.l	Sales and marketing software	Y	N
11-1021.00	Maximizer Software Maximizer Enterprise	2.E.6.c	Customer relationship management CRM software	N	N
11-1021.00	McAfee	2.E.14.d	Transaction security and virus protection software	N	N
11-1021.00	Medical condition coding software	2.E.9.i	Medical software	N	N
11-1021.00	Microsoft Access	2.E.6.f	Data base user interface and query software	Y	N
11-1021.00	Microsoft Dynamics	2.E.2.b	Enterprise resource planning ERP software	N	N
11-1021.00	Microsoft Dynamics GP	2.E.2.b	Enterprise resource planning ERP software	N	N
11-1021.00	Microsoft Excel	2.E.4.i	Spreadsheet software	Y	Y
11-1021.00	Microsoft Exchange	2.E.16.a	Electronic mail software	N	N
11-1021.00	Microsoft FrontPage	2.E.4.g	Web page creation and editing software	N	N
11-1021.00	Microsoft Internet Explorer	2.E.10.e	Internet browser software	N	N
11-1021.00	Microsoft Office software	2.E.1.k	Office suite software	Y	Y
11-1021.00	Microsoft OneNote	2.E.4.d	Word processing software	N	N
11-1021.00	Microsoft Outlook	2.E.16.a	Electronic mail software	Y	N
11-1021.00	Microsoft PowerPoint	2.E.4.f	Presentation software	Y	Y
11-1021.00	Microsoft Project	2.E.1.e	Project management software	Y	N
11-1021.00	Microsoft Publisher	2.E.4.k	Desktop publishing software	N	N
11-1021.00	Microsoft SharePoint	2.E.5.b	Document management software	Y	N
11-1021.00	Microsoft SQL Server	2.E.6.f	Data base user interface and query software	Y	N
11-1021.00	Microsoft Visio	2.E.1.p	Process mapping and design software	Y	N
11-1021.00	Microsoft Visual Basic	2.E.7.b	Development environment software	Y	N
11-1021.00	Microsoft Visual Basic for Applications VBA	2.E.7.b	Development environment software	Y	N
11-1021.00	Microsoft Windows	2.E.13.c	Operating system software	Y	N
11-1021.00	Microsoft Word	2.E.4.d	Word processing software	Y	N
11-1021.00	MicroStrategy	2.E.6.m	Business intelligence and data analysis software	N	N
11-1021.00	Minitab	2.E.9.d	Analytical or scientific software	N	N
11-1021.00	Mozilla Firefox	2.E.10.e	Internet browser software	Y	N
11-1021.00	Mozilla Thunderbird	2.E.16.a	Electronic mail software	N	N
11-1021.00	Nagios	2.E.11.a	Network monitoring software	N	N
11-1021.00	NetSuite ERP	2.E.2.b	Enterprise resource planning ERP software	N	N
11-1021.00	NetSuite NetCRM	2.E.6.c	Customer relationship management CRM software	N	N
11-1021.00	NortonLifeLock cybersecurity software	2.E.14.d	Transaction security and virus protection software	N	N
11-1021.00	Oracle Business Intelligence Enterprise Edition	2.E.6.m	Business intelligence and data analysis software	N	N
11-1021.00	Oracle Database	2.E.6.f	Data base user interface and query software	Y	N
11-1021.00	Oracle E-Business Suite Financials	2.E.2.d	Financial analysis software	N	N
11-1021.00	Oracle Eloqua	2.E.6.c	Customer relationship management CRM software	N	N
11-1021.00	Oracle Fusion Applications	2.E.2.b	Enterprise resource planning ERP software	N	N
11-1021.00	Oracle Hyperion	2.E.2.b	Enterprise resource planning ERP software	N	N
11-1021.00	Oracle JD Edwards EnterpriseOne	2.E.2.b	Enterprise resource planning ERP software	N	N
11-1021.00	Oracle PeopleSoft	2.E.2.b	Enterprise resource planning ERP software	Y	N
11-1021.00	Oracle PeopleSoft Financials	2.E.2.b	Enterprise resource planning ERP software	N	N
11-1021.00	Oracle Primavera Enterprise Project Portfolio Management	2.E.1.e	Project management software	Y	N
11-1021.00	Oracle Solaris	2.E.13.c	Operating system software	N	N
11-1021.00	Oracle Taleo	2.E.1.c	Human resources software	N	N
11-1021.00	Payroll software	2.E.2.e	Time accounting software	N	N
11-1021.00	Personnel scheduling software	2.E.1.c	Human resources software	N	N
11-1021.00	PostgreSQL	2.E.6.j	Object oriented data base management software	Y	N
11-1021.00	Puppet	2.E.7.a	Configuration management software	Y	N
11-1021.00	Qlik Tech QlikView	2.E.6.m	Business intelligence and data analysis software	N	N
11-1021.00	Quest Erwin Data Modeler	2.E.6.i	Metadata management software	N	N
11-1021.00	R	2.E.7.e	Object or component oriented development software	Y	N
11-1021.00	Realization Streamliner	2.E.1.e	Project management software	N	N
11-1021.00	Sage 50 Accounting	2.E.2.a	Accounting software	N	N
11-1021.00	Sage MAS 500	2.E.2.d	Financial analysis software	N	N
11-1021.00	Salesforce software	2.E.6.c	Customer relationship management CRM software	Y	N
11-1021.00	Salesforce.com Salesforce CRM	2.E.6.c	Customer relationship management CRM software	N	N
11-1021.00	SAP Business Objects	2.E.2.b	Enterprise resource planning ERP software	N	N
11-1021.00	SAP Crystal Reports	2.E.6.e	Data base reporting software	N	N
11-1021.00	SAP software	2.E.2.b	Enterprise resource planning ERP software	Y	N
11-1021.00	SAS	2.E.9.d	Analytical or scientific software	Y	N
11-1021.00	Savant MobileRanger	2.E.6.f	Data base user interface and query software	N	N
11-1021.00	Screencastify	2.E.4.c	Video creation and editing software	N	N
11-1021.00	SeaMonkey	2.E.10.e	Internet browser software	N	N
11-1021.00	Shell script	2.E.13.c	Operating system software	Y	N
11-1021.00	Siemens NX	2.E.9.k	Computer aided manufacturing CAM software	N	N
11-1021.00	Slack	2.E.16.i	Cloud-based data access and sharing software	Y	N
11-1021.00	Social media sites	2.E.4.g	Web page creation and editing software	N	N
11-1021.00	Software on Sailboats Desktop Sales Manager	2.E.6.c	Customer relationship management CRM software	N	N
11-1021.00	Splunk Enterprise	2.E.11.e	Cloud-based management software	Y	N
11-1021.00	StataCorp Stata	2.E.9.d	Analytical or scientific software	N	N
11-1021.00	Structured query language SQL	2.E.6.f	Data base user interface and query software	Y	N
11-1021.00	Sugar CRM	2.E.6.c	Customer relationship management CRM software	N	N
11-1021.00	Supervisory control and data acquisition SCADA software	2.E.9.g	Industrial control software	N	N
11-1021.00	Tableau	2.E.6.m	Business intelligence and data analysis software	Y	N
11-1021.00	Tax software	2.E.2.a	Accounting software	N	N
11-1021.00	Teradata Database	2.E.6.d	Data base management system software	Y	N
11-1021.00	The MathWorks MATLAB	2.E.9.d	Analytical or scientific software	Y	N
11-1021.00	Vanguard Software Vanguard Sales Manager	2.E.6.c	Customer relationship management CRM software	N	N
11-1021.00	Veritas NetBackup	2.E.15.f	Backup or archival software	N	N
11-1021.00	vtiger CRM	2.E.6.c	Customer relationship management CRM software	N	N
11-1021.00	Yardi software	2.E.6.f	Data base user interface and query software	Y	N
11-1021.00	YouTube	2.E.4.c	Video creation and editing software	N	N
11-1031.00	Adobe Acrobat	2.E.5.b	Document management software	Y	N
11-1031.00	Adobe FrameMaker	2.E.4.k	Desktop publishing software	N	N
11-1031.00	Antenna House	2.E.4.k	Desktop publishing software	N	N
11-1031.00	Apple iWork Keynote	2.E.4.f	Presentation software	N	N
11-1031.00	Apple iWork Pages	2.E.4.d	Word processing software	N	N
11-1031.00	Apple Numbers for Mac	2.E.4.i	Spreadsheet software	N	N
11-1031.00	Cisco AnyConnect	2.E.12.a	Access software	N	N
11-1031.00	Cisco Webex	2.E.16.b	Video conferencing software	Y	N
11-1031.00	Corel WordPerfect Office Suite	2.E.1.k	Office suite software	N	N
11-1031.00	GoodReader	2.E.4.d	Word processing software	N	N
11-1031.00	iAnnotate	2.E.4.d	Word processing software	N	N
11-1031.00	IBM Domino	2.E.12.b	Communications server software	N	N
11-1031.00	Legislative Automative Workflow System LAWS	2.E.6.f	Data base user interface and query software	N	N
11-1031.00	LogMeIn GoToMeeting	2.E.16.b	Video conferencing software	N	N
11-1031.00	Mapping software	2.E.16.e	Map creation software	N	N
11-1031.00	Meeting scheduling software	2.E.4.h	Calendar and scheduling software	N	N
11-1031.00	Microsoft Access	2.E.6.f	Data base user interface and query software	Y	N
11-1031.00	Microsoft Excel	2.E.4.i	Spreadsheet software	Y	N
11-1031.00	Microsoft Exchange	2.E.16.a	Electronic mail software	N	N
11-1031.00	Microsoft Office software	2.E.1.k	Office suite software	Y	N
11-1031.00	Microsoft Outlook	2.E.16.a	Electronic mail software	Y	N
11-1031.00	Microsoft SharePoint	2.E.5.b	Document management software	Y	N
11-1031.00	Microsoft SQL Server	2.E.6.f	Data base user interface and query software	Y	N
11-1031.00	Microsoft Visual Basic	2.E.7.b	Development environment software	Y	N
11-1031.00	Microsoft Word	2.E.4.d	Word processing software	Y	N
11-1031.00	Penultimate	2.E.4.d	Word processing software	N	N
11-1031.00	PTC Arbortext	2.E.4.k	Desktop publishing software	N	N
11-1031.00	Rocket/Folio NXT	2.E.4.k	Desktop publishing software	N	N
11-1031.00	Structured query language SQL	2.E.6.f	Data base user interface and query software	Y	N
11-1031.00	Web browser software	2.E.10.e	Internet browser software	N	N
11-1031.00	Windows Media Player	2.E.3.b	Music or sound editing software	N	N
11-1031.00	XMetaL Author	2.E.4.d	Word processing software	N	N
11-2011.00	Actuate BIRT	2.E.6.m	Business intelligence and data analysis software	N	N
11-2011.00	Adobe Acrobat	2.E.5.b	Document management software	Y	N
11-2011.00	Adobe Acrobat Reader	2.E.5.b	Document management software	N	N
11-2011.00	Adobe After Effects	2.E.4.c	Video creation and editing software	Y	N
11-2011.00	Adobe Creative Cloud software	2.E.4.b	Graphics or photo imaging software	Y	N
11-2011.00	Adobe Dreamweaver	2.E.4.g	Web page creation and editing software	N	N
11-2011.00	Adobe Experience Manager (AEM)	2.E.4.g	Web page creation and editing software	N	N
11-2011.00	Adobe Illustrator	2.E.4.b	Graphics or photo imaging software	Y	N
11-2011.00	Adobe InDesign	2.E.4.k	Desktop publishing software	Y	N
11-2011.00	Adobe PageMaker	2.E.4.k	Desktop publishing software	N	N
11-2011.00	Adobe Photoshop	2.E.4.b	Graphics or photo imaging software	Y	N
11-2011.00	Adobe Premiere Pro	2.E.4.c	Video creation and editing software	N	N
11-2011.00	AdRelevance	2.E.6.e	Data base reporting software	N	N
11-2011.00	Apple Final Cut Pro	2.E.4.c	Video creation and editing software	N	N
11-2011.00	Apple iMovie	2.E.4.c	Video creation and editing software	N	N
11-2011.00	Avid Media Composer	2.E.4.c	Video creation and editing software	N	N
11-2011.00	Brainworks	2.E.2.b	Enterprise resource planning ERP software	N	N
11-2011.00	Business analysis software	2.E.9.d	Analytical or scientific software	N	N
11-2011.00	Constant Contact	2.E.6.c	Customer relationship management CRM software	N	N
11-2011.00	Data visualization software	2.E.9.d	Analytical or scientific software	N	N
11-2011.00	Data warehousing software	2.E.5.b	Document management software	N	N
11-2011.00	Database software	2.E.6.f	Data base user interface and query software	N	N
11-2011.00	Drupal	2.E.7.h	Web platform development software	N	N
11-2011.00	Email software	2.E.16.a	Electronic mail software	N	N
11-2011.00	Experience in Software Webplanner	2.E.1.e	Project management software	N	N
11-2011.00	Extensible markup language XML	2.E.7.c	Enterprise application integration software	Y	N
11-2011.00	Facebook	2.E.4.g	Web page creation and editing software	Y	N
11-2011.00	Google Ads	2.E.1.l	Sales and marketing software	N	N
11-2011.00	Google Analytics	2.E.9.d	Analytical or scientific software	Y	N
11-2011.00	Google DoubleClick	2.E.6.m	Business intelligence and data analysis software	N	N
11-2011.00	Hootsuite	2.E.7.c	Enterprise application integration software	N	N
11-2011.00	HubSpot software	2.E.1.l	Sales and marketing software	Y	N
11-2011.00	Hypertext markup language HTML	2.E.7.h	Web platform development software	Y	N
11-2011.00	IBM Lotus Notes	2.E.16.a	Electronic mail software	N	N
11-2011.00	Instagram	2.E.4.g	Web page creation and editing software	N	N
11-2011.00	Inventory tracking software	2.E.1.f	Inventory management software	N	N
11-2011.00	JavaScript	2.E.7.h	Web platform development software	Y	N
11-2011.00	LinkedIn	2.E.4.g	Web page creation and editing software	N	N
11-2011.00	MailChimp	2.E.16.a	Electronic mail software	N	N
11-2011.00	Marketo Marketing Automation	2.E.1.l	Sales and marketing software	Y	N
11-2011.00	MarketSharp	2.E.6.c	Customer relationship management CRM software	N	N
11-2011.00	Microsoft Access	2.E.6.f	Data base user interface and query software	Y	N
11-2011.00	Microsoft Dynamics	2.E.2.b	Enterprise resource planning ERP software	N	N
11-2011.00	Microsoft Dynamics Marketing	2.E.6.f	Data base user interface and query software	N	N
11-2011.00	Microsoft Excel	2.E.4.i	Spreadsheet software	Y	Y
11-2011.00	Microsoft Office software	2.E.1.k	Office suite software	Y	Y
11-2011.00	Microsoft Outlook	2.E.16.a	Electronic mail software	Y	N
11-2011.00	Microsoft PowerPoint	2.E.4.f	Presentation software	Y	Y
11-2011.00	Microsoft Project	2.E.1.e	Project management software	Y	N
11-2011.00	Microsoft Publisher	2.E.4.k	Desktop publishing software	N	N
11-2011.00	Microsoft SharePoint	2.E.5.b	Document management software	Y	N
11-2011.00	Microsoft SQL Server	2.E.6.d	Data base management system software	Y	N
11-2011.00	Microsoft Windows	2.E.13.c	Operating system software	Y	N
11-2011.00	Microsoft Word	2.E.4.d	Word processing software	Y	N
11-2011.00	Oracle Eloqua	2.E.6.c	Customer relationship management CRM software	N	N
11-2011.00	PaloAlto Advertising Plan Pro	2.E.6.f	Data base user interface and query software	N	N
11-2011.00	Pinterest	2.E.6.h	Information retrieval or search software	N	N
11-2011.00	Quark enterprise publishing software	2.E.4.k	Desktop publishing software	N	N
11-2011.00	Relex Weibull	2.E.9.d	Analytical or scientific software	N	N
11-2011.00	Salesforce software	2.E.6.c	Customer relationship management CRM software	Y	N
11-2011.00	SAP software	2.E.2.b	Enterprise resource planning ERP software	Y	N
11-2011.00	Scheduling software	2.E.4.h	Calendar and scheduling software	N	N
11-2011.00	Social media software	2.E.4.g	Web page creation and editing software	N	N
11-2011.00	Structure query language SQL	2.E.6.f	Data base user interface and query software	N	N
11-2011.00	Tableau	2.E.6.m	Business intelligence and data analysis software	Y	N
11-2011.00	Twitter	2.E.16.d	Instant messaging software	N	N
11-2011.00	Vimeo	2.E.4.c	Video creation and editing software	N	N
11-2011.00	Web browser software	2.E.10.e	Internet browser software	N	N
11-2011.00	WebTrends Analytics	2.E.9.d	Analytical or scientific software	N	N
11-2011.00	Webtrends software	2.E.1.l	Sales and marketing software	N	N
11-2011.00	WordPress	2.E.4.g	Web page creation and editing software	Y	N
11-2011.00	YouTube	2.E.4.c	Video creation and editing software	N	N
11-2021.00	Adobe Acrobat	2.E.5.b	Document management software	Y	N
11-2021.00	Adobe Acrobat Reader	2.E.5.b	Document management software	N	N
11-2021.00	Adobe ActionScript	2.E.7.b	Development environment software	N	N
11-2021.00	Adobe After Effects	2.E.4.c	Video creation and editing software	Y	N
11-2021.00	Adobe Creative Cloud software	2.E.4.b	Graphics or photo imaging software	Y	N
11-2021.00	Adobe Dreamweaver	2.E.4.g	Web page creation and editing software	N	N
11-2021.00	Adobe Illustrator	2.E.4.b	Graphics or photo imaging software	Y	N
11-2021.00	Adobe InDesign	2.E.4.k	Desktop publishing software	Y	N
11-2021.00	Adobe Photoshop	2.E.4.b	Graphics or photo imaging software	Y	N
11-2021.00	AdSense Tracker	2.E.6.f	Data base user interface and query software	N	N
11-2021.00	AEC Software FastTrack Schedule	2.E.6.f	Data base user interface and query software	N	N
11-2021.00	Airtable	2.E.6.f	Data base user interface and query software	N	N
11-2021.00	Amazon Redshift	2.E.6.f	Data base user interface and query software	Y	N
11-2021.00	Amazon Web Services AWS software	2.E.6.f	Data base user interface and query software	Y	N
11-2021.00	Apache Cassandra	2.E.6.d	Data base management system software	Y	N
11-2021.00	Apache Hadoop	2.E.6.d	Data base management system software	Y	N
11-2021.00	Apache Hive	2.E.6.d	Data base management system software	Y	N
11-2021.00	Apache Pig	2.E.6.d	Data base management system software	N	N
11-2021.00	Apache Solr	2.E.6.d	Data base management system software	N	N
11-2021.00	Apple Final Cut Pro	2.E.4.c	Video creation and editing software	N	N
11-2021.00	Apple Keynote	2.E.4.f	Presentation software	N	N
11-2021.00	Apple macOS	2.E.13.c	Operating system software	Y	N
11-2021.00	Armand Morin MultiTrack Generator	2.E.6.l	Transaction server software	N	N
11-2021.00	Asana	2.E.16.i	Cloud-based data access and sharing software	Y	N
11-2021.00	Atlassian Confluence	2.E.1.e	Project management software	Y	N
11-2021.00	Atlassian JIRA	2.E.5.a	Content workflow software	Y	Y
11-2021.00	Blackbaud The Raiser's Edge	2.E.6.c	Customer relationship management CRM software	N	N
11-2021.00	C	2.E.7.b	Development environment software	Y	N
11-2021.00	Canva	2.E.4.b	Graphics or photo imaging software	Y	N
11-2021.00	Cascading style sheets CSS	2.E.7.h	Web platform development software	Y	N
11-2021.00	Citrix cloud computing software	2.E.12.a	Access software	N	N
11-2021.00	ClearEDGE	2.E.6.f	Data base user interface and query software	N	N
11-2021.00	Constant Contact	2.E.6.c	Customer relationship management CRM software	N	N
11-2021.00	Database reporting software	2.E.6.e	Data base reporting software	N	N
11-2021.00	Database software	2.E.6.f	Data base user interface and query software	N	N
11-2021.00	Databox	2.E.6.f	Data base user interface and query software	N	N
11-2021.00	Delphi Technology	2.E.2.d	Financial analysis software	N	N
11-2021.00	Dropbox	2.E.16.i	Cloud-based data access and sharing software	N	N
11-2021.00	Drupal	2.E.7.h	Web platform development software	N	N
11-2021.00	Dynamic hypertext markup language DHTML	2.E.7.h	Web platform development software	N	N
11-2021.00	Eko	2.E.10.b	Desktop communications software	N	N
11-2021.00	Elasticsearch	2.E.6.d	Data base management system software	Y	N
11-2021.00	Evernote	2.E.4.d	Word processing software	N	N
11-2021.00	Extensible hypertext markup language XHTML	2.E.7.h	Web platform development software	N	N
11-2021.00	Extensible markup language XML	2.E.7.c	Enterprise application integration software	Y	N
11-2021.00	Facebook	2.E.4.g	Web page creation and editing software	Y	N
11-2021.00	Figma	2.E.7.d	Graphical user interface development software	Y	N
11-2021.00	FileMaker Pro	2.E.6.f	Data base user interface and query software	N	N
11-2021.00	Flipgrid	2.E.4.c	Video creation and editing software	N	N
11-2021.00	Fund accounting software	2.E.2.a	Accounting software	N	N
11-2021.00	GitHub	2.E.10.a	Application server software	Y	N
11-2021.00	Google Ads	2.E.1.l	Sales and marketing software	N	N
11-2021.00	Google Analytics	2.E.6.g	Data mining software	Y	N
11-2021.00	Google Docs	2.E.4.d	Word processing software	Y	N
11-2021.00	Google Drive	2.E.16.i	Cloud-based data access and sharing software	N	N
