O*NET-SOC Code	Element ID	Element Name	Scale ID	Data Value	Date	Domain Source
11-2032.00	1.B.1.i	Third Interest High-Point	IH	4.00	02/2026	Machine Learning/Expert
11-2033.00	1.B.1.a	Realistic	OI	1.00	02/2026	Machine Learning/Expert
11-2033.00	1.B.1.b	Investigative	OI	2.41	02/2026	Machine Learning/Expert
11-2033.00	1.B.1.c	Artistic	OI	2.61	02/2026	Machine Learning/Expert
11-2033.00	1.B.1.d	Social	OI	3.76	02/2026	Machine Learning/Expert
11-2033.00	1.B.1.e	Enterprising	OI	7.00	02/2026	Machine Learning/Expert
11-2033.00	1.B.1.f	Conventional	OI	4.82	02/2026	Machine Learning/Expert
11-2033.00	1.B.1.g	First Interest High-Point	IH	5.00	02/2026	Machine Learning/Expert
11-2033.00	1.B.1.h	Second Interest High-Point	IH	6.00	02/2026	Machine Learning/Expert
11-2033.00	1.B.1.i	Third Interest High-Point	IH	4.00	02/2026	Machine Learning/Expert
11-3012.00	1.B.1.a	Realistic	OI	1.42	02/2026	Machine Learning/Expert
11-3012.00	1.B.1.b	Investigative	OI	2.12	02/2026	Machine Learning/Expert
11-3012.00	1.B.1.c	Artistic	OI	1.11	02/2026	Machine Learning/Expert
11-3012.00	1.B.1.d	Social	OI	3.74	02/2026	Machine Learning/Expert
11-3012.00	1.B.1.e	Enterprising	OI	6.47	02/2026	Machine Learning/Expert
11-3012.00	1.B.1.f	Conventional	OI	6.27	02/2026	Machine Learning/Expert
11-3012.00	1.B.1.g	First Interest High-Point	IH	5.00	02/2026	Machine Learning/Expert
11-3012.00	1.B.1.h	Second Interest High-Point	IH	6.00	02/2026	Machine Learning/Expert
11-3012.00	1.B.1.i	Third Interest High-Point	IH	4.00	02/2026	Machine Learning/Expert
11-3013.00	1.B.1.a	Realistic	OI	4.15	02/2026	Machine Learning/Expert
11-3013.00	1.B.1.b	Investigative	OI	2.60	02/2026	Machine Learning/Expert
11-3013.00	1.B.1.c	Artistic	OI	1.61	02/2026	Machine Learning/Expert
11-3013.00	1.B.1.d	Social	OI	3.58	02/2026	Machine Learning/Expert
11-3013.00	1.B.1.e	Enterprising	OI	5.35	02/2026	Machine Learning/Expert
11-3013.00	1.B.1.f	Conventional	OI	5.35	02/2026	Machine Learning/Expert
11-3013.00	1.B.1.g	First Interest High-Point	IH	5.00	02/2026	Machine Learning/Expert
11-3013.00	1.B.1.h	Second Interest High-Point	IH	6.00	02/2026	Machine Learning/Expert
11-3013.00	1.B.1.i	Third Interest High-Point	IH	1.00	02/2026	Machine Learning/Expert
11-3013.01	1.B.1.a	Realistic	OI	3.39	02/2026	Machine Learning/Expert
11-3013.01	1.B.1.b	Investigative	OI	3.69	02/2026	Machine Learning/Expert
11-3013.01	1.B.1.c	Artistic	OI	1.30	02/2026	Machine Learning/Expert
11-3013.01	1.B.1.d	Social	OI	2.75	02/2026	Machine Learning/Expert
11-3013.01	1.B.1.e	Enterprising	OI	5.63	02/2026	Machine Learning/Expert
11-3013.01	1.B.1.f	Conventional	OI	5.43	02/2026	Machine Learning/Expert
11-3013.01	1.B.1.g	First Interest High-Point	IH	5.00	02/2026	Machine Learning/Expert
11-3013.01	1.B.1.h	Second Interest High-Point	IH	6.00	02/2026	Machine Learning/Expert
11-3013.01	1.B.1.i	Third Interest High-Point	IH	0.00	02/2026	Machine Learning/Expert
11-3021.00	1.B.1.a	Realistic	OI	2.68	02/2026	Machine Learning/Expert
11-3021.00	1.B.1.b	Investigative	OI	4.49	02/2026	Machine Learning/Expert
11-3021.00	1.B.1.c	Artistic	OI	1.47	02/2026	Machine Learning/Expert
11-3021.00	1.B.1.d	Social	OI	2.35	02/2026	Machine Learning/Expert
11-3021.00	1.B.1.e	Enterprising	OI	5.09	02/2026	Machine Learning/Expert
11-3021.00	1.B.1.f	Conventional	OI	5.94	02/2026	Machine Learning/Expert
11-3021.00	1.B.1.g	First Interest High-Point	IH	6.00	02/2026	Machine Learning/Expert
11-3021.00	1.B.1.h	Second Interest High-Point	IH	5.00	02/2026	Machine Learning/Expert
11-3021.00	1.B.1.i	Third Interest High-Point	IH	2.00	02/2026	Machine Learning/Expert
11-3031.00	1.B.1.a	Realistic	OI	1.36	02/2026	Machine Learning/Expert
11-3031.00	1.B.1.b	Investigative	OI	2.46	02/2026	Machine Learning/Expert
11-3031.00	1.B.1.c	Artistic	OI	1.59	02/2026	Machine Learning/Expert
11-3031.00	1.B.1.d	Social	OI	3.04	02/2026	Machine Learning/Expert
11-3031.00	1.B.1.e	Enterprising	OI	7.00	02/2026	Machine Learning/Expert
11-3031.00	1.B.1.f	Conventional	OI	5.56	02/2026	Machine Learning/Expert
11-3031.00	1.B.1.g	First Interest High-Point	IH	5.00	02/2026	Machine Learning/Expert
11-3031.00	1.B.1.h	Second Interest High-Point	IH	6.00	02/2026	Machine Learning/Expert
11-3031.00	1.B.1.i	Third Interest High-Point	IH	0.00	02/2026	Machine Learning/Expert
11-3031.01	1.B.1.a	Realistic	OI	1.00	02/2026	Machine Learning/Expert
11-3031.01	1.B.1.b	Investigative	OI	2.20	02/2026	Machine Learning/Expert
11-3031.01	1.B.1.c	Artistic	OI	1.17	02/2026	Machine Learning/Expert
11-3031.01	1.B.1.d	Social	OI	2.68	02/2026	Machine Learning/Expert
11-3031.01	1.B.1.e	Enterprising	OI	6.15	02/2026	Machine Learning/Expert
11-3031.01	1.B.1.f	Conventional	OI	6.44	02/2026	Machine Learning/Expert
11-3031.01	1.B.1.g	First Interest High-Point	IH	6.00	02/2026	Machine Learning/Expert
11-3031.01	1.B.1.h	Second Interest High-Point	IH	5.00	02/2026	Machine Learning/Expert
11-3031.01	1.B.1.i	Third Interest High-Point	IH	0.00	02/2026	Machine Learning/Expert
11-3031.03	1.B.1.a	Realistic	OI	1.48	02/2026	Machine Learning/Expert
11-3031.03	1.B.1.b	Investigative	OI	3.77	02/2026	Machine Learning/Expert
11-3031.03	1.B.1.c	Artistic	OI	1.65	02/2026	Machine Learning/Expert
11-3031.03	1.B.1.d	Social	OI	2.69	02/2026	Machine Learning/Expert
11-3031.03	1.B.1.e	Enterprising	OI	6.95	02/2026	Machine Learning/Expert
11-3031.03	1.B.1.f	Conventional	OI	5.21	02/2026	Machine Learning/Expert
11-3031.03	1.B.1.g	First Interest High-Point	IH	5.00	02/2026	Machine Learning/Expert
11-3031.03	1.B.1.h	Second Interest High-Point	IH	6.00	02/2026	Machine Learning/Expert
11-3031.03	1.B.1.i	Third Interest High-Point	IH	2.00	02/2026	Machine Learning/Expert
11-3051.00	1.B.1.a	Realistic	OI	4.00	02/2026	Machine Learning/Expert
11-3051.00	1.B.1.b	Investigative	OI	2.92	02/2026	Machine Learning/Expert
11-3051.00	1.B.1.c	Artistic	OI	1.40	02/2026	Machine Learning/Expert
11-3051.00	1.B.1.d	Social	OI	1.85	02/2026	Machine Learning/Expert
11-3051.00	1.B.1.e	Enterprising	OI	6.03	02/2026	Machine Learning/Expert
11-3051.00	1.B.1.f	Conventional	OI	5.21	02/2026	Machine Learning/Expert
11-3051.00	1.B.1.g	First Interest High-Point	IH	5.00	02/2026	Machine Learning/Expert
11-3051.00	1.B.1.h	Second Interest High-Point	IH	6.00	02/2026	Machine Learning/Expert
11-3051.00	1.B.1.i	Third Interest High-Point	IH	1.00	02/2026	Machine Learning/Expert
11-3051.01	1.B.1.a	Realistic	OI	3.58	02/2026	Machine Learning/Expert
11-3051.01	1.B.1.b	Investigative	OI	4.12	02/2026	Machine Learning/Expert
11-3051.01	1.B.1.c	Artistic	OI	1.28	02/2026	Machine Learning/Expert
11-3051.01	1.B.1.d	Social	OI	2.07	02/2026	Machine Learning/Expert
11-3051.01	1.B.1.e	Enterprising	OI	5.09	02/2026	Machine Learning/Expert
11-3051.01	1.B.1.f	Conventional	OI	5.42	02/2026	Machine Learning/Expert
11-3051.01	1.B.1.g	First Interest High-Point	IH	6.00	02/2026	Machine Learning/Expert
11-3051.01	1.B.1.h	Second Interest High-Point	IH	5.00	02/2026	Machine Learning/Expert
11-3051.01	1.B.1.i	Third Interest High-Point	IH	2.00	02/2026	Machine Learning/Expert
11-3051.02	1.B.1.a	Realistic	OI	5.35	11/2023	Machine Learning
11-3051.02	1.B.1.b	Investigative	OI	3.35	11/2023	Machine Learning
11-3051.02	1.B.1.c	Artistic	OI	1.00	11/2023	Machine Learning
11-3051.02	1.B.1.d	Social	OI	2.07	11/2023	Machine Learning
11-3051.02	1.B.1.e	Enterprising	OI	4.58	11/2023	Machine Learning
11-3051.02	1.B.1.f	Conventional	OI	4.82	11/2023	Machine Learning
11-3051.02	1.B.1.g	First Interest High-Point	IH	1.00	11/2023	Machine Learning
11-3051.02	1.B.1.h	Second Interest High-Point	IH	6.00	11/2023	Machine Learning
11-3051.02	1.B.1.i	Third Interest High-Point	IH	5.00	11/2023	Machine Learning
11-3051.03	1.B.1.a	Realistic	OI	4.59	11/2023	Machine Learning
11-3051.03	1.B.1.b	Investigative	OI	3.74	11/2023	Machine Learning
11-3051.03	1.B.1.c	Artistic	OI	1.00	11/2023	Machine Learning
11-3051.03	1.B.1.d	Social	OI	1.83	11/2023	Machine Learning
11-3051.03	1.B.1.e	Enterprising	OI	5.41	11/2023	Machine Learning
11-3051.03	1.B.1.f	Conventional	OI	5.06	11/2023	Machine Learning
11-3051.03	1.B.1.g	First Interest High-Point	IH	5.00	11/2023	Machine Learning
11-3051.03	1.B.1.h	Second Interest High-Point	IH	6.00	11/2023	Machine Learning
11-3051.03	1.B.1.i	Third Interest High-Point	IH	1.00	11/2023	Machine Learning
11-3051.04	1.B.1.a	Realistic	OI	5.12	11/2023	Machine Learning
11-3051.04	1.B.1.b	Investigative	OI	3.19	11/2023	Machine Learning
11-3051.04	1.B.1.c	Artistic	OI	1.00	11/2023	Machine Learning
11-3051.04	1.B.1.d	Social	OI	1.72	11/2023	Machine Learning
11-3051.04	1.B.1.e	Enterprising	OI	4.86	11/2023	Machine Learning
11-3051.04	1.B.1.f	Conventional	OI	5.34	11/2023	Machine Learning
11-3051.04	1.B.1.g	First Interest High-Point	IH	6.00	11/2023	Machine Learning
11-3051.04	1.B.1.h	Second Interest High-Point	IH	1.00	11/2023	Machine Learning
11-3051.04	1.B.1.i	Third Interest High-Point	IH	5.00	11/2023	Machine Learning
11-3051.06	1.B.1.a	Realistic	OI	5.37	11/2023	Machine Learning
11-3051.06	1.B.1.b	Investigative	OI	3.64	11/2023	Machine Learning
11-3051.06	1.B.1.c	Artistic	OI	1.00	11/2023	Machine Learning
11-3051.06	1.B.1.d	Social	OI	1.83	11/2023	Machine Learning
11-3051.06	1.B.1.e	Enterprising	OI	4.57	11/2023	Machine Learning
11-3051.06	1.B.1.f	Conventional	OI	5.02	11/2023	Machine Learning
11-3051.06	1.B.1.g	First Interest High-Point	IH	1.00	11/2023	Machine Learning
11-3051.06	1.B.1.h	Second Interest High-Point	IH	6.00	11/2023	Machine Learning
11-3051.06	1.B.1.i	Third Interest High-Point	IH	5.00	11/2023	Machine Learning
11-3061.00	1.B.1.a	Realistic	OI	2.49	02/2026	Machine Learning/Expert
11-3061.00	1.B.1.b	Investigative	OI	1.77	02/2026	Machine Learning/Expert
11-3061.00	1.B.1.c	Artistic	OI	1.20	02/2026	Machine Learning/Expert
11-3061.00	1.B.1.d	Social	OI	2.70	02/2026	Machine Learning/Expert
11-3061.00	1.B.1.e	Enterprising	OI	7.00	02/2026	Machine Learning/Expert
11-3061.00	1.B.1.f	Conventional	OI	5.98	02/2026	Machine Learning/Expert
11-3061.00	1.B.1.g	First Interest High-Point	IH	5.00	02/2026	Machine Learning/Expert
11-3061.00	1.B.1.h	Second Interest High-Point	IH	6.00	02/2026	Machine Learning/Expert
11-3061.00	1.B.1.i	Third Interest High-Point	IH	0.00	02/2026	Machine Learning/Expert
11-3071.00	1.B.1.a	Realistic	OI	3.60	02/2026	Machine Learning/Expert
11-3071.00	1.B.1.b	Investigative	OI	2.64	02/2026	Machine Learning/Expert
11-3071.00	1.B.1.c	Artistic	OI	1.00	02/2026	Machine Learning/Expert
11-3071.00	1.B.1.d	Social	OI	2.39	02/2026	Machine Learning/Expert
11-3071.00	1.B.1.e	Enterprising	OI	5.99	02/2026	Machine Learning/Expert
11-3071.00	1.B.1.f	Conventional	OI	5.74	02/2026	Machine Learning/Expert
11-3071.00	1.B.1.g	First Interest High-Point	IH	5.00	02/2026	Machine Learning/Expert
11-3071.00	1.B.1.h	Second Interest High-Point	IH	6.00	02/2026	Machine Learning/Expert
11-3071.00	1.B.1.i	Third Interest High-Point	IH	0.00	02/2026	Machine Learning/Expert
11-3071.04	1.B.1.a	Realistic	OI	3.39	02/2026	Machine Learning/Expert
11-3071.04	1.B.1.b	Investigative	OI	2.46	02/2026	Machine Learning/Expert
11-3071.04	1.B.1.c	Artistic	OI	1.00	02/2026	Machine Learning/Expert
11-3071.04	1.B.1.d	Social	OI	2.04	02/2026	Machine Learning/Expert
11-3071.04	1.B.1.e	Enterprising	OI	6.24	02/2026	Machine Learning/Expert
11-3071.04	1.B.1.f	Conventional	OI	5.25	02/2026	Machine Learning/Expert
11-3071.04	1.B.1.g	First Interest High-Point	IH	5.00	02/2026	Machine Learning/Expert
11-3071.04	1.B.1.h	Second Interest High-Point	IH	6.00	02/2026	Machine Learning/Expert
11-3071.04	1.B.1.i	Third Interest High-Point	IH	0.00	02/2026	Machine Learning/Expert
11-3111.00	1.B.1.a	Realistic	OI	1.00	02/2026	Machine Learning/Expert
11-3111.00	1.B.1.b	Investigative	OI	2.18	02/2026	Machine Learning/Expert
11-3111.00	1.B.1.c	Artistic	OI	1.41	02/2026	Machine Learning/Expert
11-3111.00	1.B.1.d	Social	OI	3.81	02/2026	Machine Learning/Expert
11-3111.00	1.B.1.e	Enterprising	OI	7.00	02/2026	Machine Learning/Expert
11-3111.00	1.B.1.f	Conventional	OI	5.66	02/2026	Machine Learning/Expert
11-3111.00	1.B.1.g	First Interest High-Point	IH	5.00	02/2026	Machine Learning/Expert
11-3111.00	1.B.1.h	Second Interest High-Point	IH	6.00	02/2026	Machine Learning/Expert
11-3111.00	1.B.1.i	Third Interest High-Point	IH	4.00	02/2026	Machine Learning/Expert
11-3121.00	1.B.1.a	Realistic	OI	1.26	02/2026	Machine Learning/Expert
11-3121.00	1.B.1.b	Investigative	OI	2.31	02/2026	Machine Learning/Expert
11-3121.00	1.B.1.c	Artistic	OI	1.50	02/2026	Machine Learning/Expert
11-3121.00	1.B.1.d	Social	OI	3.88	02/2026	Machine Learning/Expert
11-3121.00	1.B.1.e	Enterprising	OI	7.00	02/2026	Machine Learning/Expert
11-3121.00	1.B.1.f	Conventional	OI	5.54	02/2026	Machine Learning/Expert
11-3121.00	1.B.1.g	First Interest High-Point	IH	5.00	02/2026	Machine Learning/Expert
11-3121.00	1.B.1.h	Second Interest High-Point	IH	6.00	02/2026	Machine Learning/Expert
11-3121.00	1.B.1.i	Third Interest High-Point	IH	4.00	02/2026	Machine Learning/Expert
11-3131.00	1.B.1.a	Realistic	OI	1.90	02/2026	Machine Learning/Expert
11-3131.00	1.B.1.b	Investigative	OI	3.04	02/2026	Machine Learning/Expert
11-3131.00	1.B.1.c	Artistic	OI	2.57	02/2026	Machine Learning/Expert
11-3131.00	1.B.1.d	Social	OI	5.54	02/2026	Machine Learning/Expert
11-3131.00	1.B.1.e	Enterprising	OI	6.35	02/2026	Machine Learning/Expert
11-3131.00	1.B.1.f	Conventional	OI	4.04	02/2026	Machine Learning/Expert
11-3131.00	1.B.1.g	First Interest High-Point	IH	5.00	02/2026	Machine Learning/Expert
11-3131.00	1.B.1.h	Second Interest High-Point	IH	4.00	02/2026	Machine Learning/Expert
11-3131.00	1.B.1.i	Third Interest High-Point	IH	6.00	02/2026	Machine Learning/Expert
11-9013.00	1.B.1.a	Realistic	OI	5.16	02/2026	Machine Learning/Expert
11-9013.00	1.B.1.b	Investigative	OI	2.74	02/2026	Machine Learning/Expert
11-9013.00	1.B.1.c	Artistic	OI	1.06	02/2026	Machine Learning/Expert
11-9013.00	1.B.1.d	Social	OI	2.63	02/2026	Machine Learning/Expert
11-9013.00	1.B.1.e	Enterprising	OI	5.52	02/2026	Machine Learning/Expert
11-9013.00	1.B.1.f	Conventional	OI	4.53	02/2026	Machine Learning/Expert
11-9013.00	1.B.1.g	First Interest High-Point	IH	5.00	02/2026	Machine Learning/Expert
11-9013.00	1.B.1.h	Second Interest High-Point	IH	1.00	02/2026	Machine Learning/Expert
11-9013.00	1.B.1.i	Third Interest High-Point	IH	6.00	02/2026	Machine Learning/Expert
11-9021.00	1.B.1.a	Realistic	OI	4.68	02/2026	Machine Learning/Expert
11-9021.00	1.B.1.b	Investigative	OI	3.18	02/2026	Machine Learning/Expert
11-9021.00	1.B.1.c	Artistic	OI	1.70	02/2026	Machine Learning/Expert
11-9021.00	1.B.1.d	Social	OI	2.35	02/2026	Machine Learning/Expert
11-9021.00	1.B.1.e	Enterprising	OI	5.73	02/2026	Machine Learning/Expert
11-9021.00	1.B.1.f	Conventional	OI	4.80	02/2026	Machine Learning/Expert
11-9021.00	1.B.1.g	First Interest High-Point	IH	5.00	02/2026	Machine Learning/Expert
11-9021.00	1.B.1.h	Second Interest High-Point	IH	6.00	02/2026	Machine Learning/Expert
11-9021.00	1.B.1.i	Third Interest High-Point	IH	1.00	02/2026	Machine Learning/Expert
11-9031.00	1.B.1.a	Realistic	OI	1.20	02/2026	Machine Learning/Expert
11-9031.00	1.B.1.b	Investigative	OI	2.90	02/2026	Machine Learning/Expert
11-9031.00	1.B.1.c	Artistic	OI	2.78	02/2026	Machine Learning/Expert
11-9031.00	1.B.1.d	Social	OI	6.46	02/2026	Machine Learning/Expert
11-9031.00	1.B.1.e	Enterprising	OI	4.85	02/2026	Machine Learning/Expert
11-9031.00	1.B.1.f	Conventional	OI	4.53	02/2026	Machine Learning/Expert
11-9031.00	1.B.1.g	First Interest High-Point	IH	4.00	02/2026	Machine Learning/Expert
11-9031.00	1.B.1.h	Second Interest High-Point	IH	5.00	02/2026	Machine Learning/Expert
11-9031.00	1.B.1.i	Third Interest High-Point	IH	6.00	02/2026	Machine Learning/Expert
11-9032.00	1.B.1.a	Realistic	OI	1.31	02/2026	Machine Learning/Expert
11-9032.00	1.B.1.b	Investigative	OI	3.06	02/2026	Machine Learning/Expert
11-9032.00	1.B.1.c	Artistic	OI	2.84	02/2026	Machine Learning/Expert
11-9032.00	1.B.1.d	Social	OI	5.72	02/2026	Machine Learning/Expert
11-9032.00	1.B.1.e	Enterprising	OI	5.34	02/2026	Machine Learning/Expert
11-9032.00	1.B.1.f	Conventional	OI	4.68	02/2026	Machine Learning/Expert
11-9032.00	1.B.1.g	First Interest High-Point	IH	4.00	02/2026	Machine Learning/Expert
11-9032.00	1.B.1.h	Second Interest High-Point	IH	5.00	02/2026	Machine Learning/Expert
11-9032.00	1.B.1.i	Third Interest High-Point	IH	6.00	02/2026	Machine Learning/Expert
11-9033.00	1.B.1.a	Realistic	OI	1.00	02/2026	Machine Learning/Expert
11-9033.00	1.B.1.b	Investigative	OI	3.83	02/2026	Machine Learning/Expert
11-9033.00	1.B.1.c	Artistic	OI	2.81	02/2026	Machine Learning/Expert
11-9033.00	1.B.1.d	Social	OI	5.64	02/2026	Machine Learning/Expert
11-9033.00	1.B.1.e	Enterprising	OI	5.30	02/2026	Machine Learning/Expert
11-9033.00	1.B.1.f	Conventional	OI	4.91	02/2026	Machine Learning/Expert
11-9033.00	1.B.1.g	First Interest High-Point	IH	4.00	02/2026	Machine Learning/Expert
11-9033.00	1.B.1.h	Second Interest High-Point	IH	5.00	02/2026	Machine Learning/Expert
11-9033.00	1.B.1.i	Third Interest High-Point	IH	6.00	02/2026	Machine Learning/Expert
11-9041.00	1.B.1.a	Realistic	OI	2.99	02/2026	Machine Learning/Expert
11-9041.00	1.B.1.b	Investigative	OI	4.56	02/2026	Machine Learning/Expert
11-9041.00	1.B.1.c	Artistic	OI	2.64	02/2026	Machine Learning/Expert
11-9041.00	1.B.1.d	Social	OI	2.95	02/2026	Machine Learning/Expert
11-9041.00	1.B.1.e	Enterprising	OI	6.40	02/2026	Machine Learning/Expert
11-9041.00	1.B.1.f	Conventional	OI	4.43	02/2026	Machine Learning/Expert
11-9041.00	1.B.1.g	First Interest High-Point	IH	5.00	02/2026	Machine Learning/Expert
11-9041.00	1.B.1.h	Second Interest High-Point	IH	2.00	02/2026	Machine Learning/Expert
11-9041.00	1.B.1.i	Third Interest High-Point	IH	6.00	02/2026	Machine Learning/Expert
11-9041.01	1.B.1.a	Realistic	OI	4.16	11/2023	Machine Learning
11-9041.01	1.B.1.b	Investigative	OI	5.84	11/2023	Machine Learning
11-9041.01	1.B.1.c	Artistic	OI	2.11	11/2023	Machine Learning
11-9041.01	1.B.1.d	Social	OI	2.10	11/2023	Machine Learning
11-9041.01	1.B.1.e	Enterprising	OI	4.70	11/2023	Machine Learning
11-9041.01	1.B.1.f	Conventional	OI	3.51	11/2023	Machine Learning
11-9041.01	1.B.1.g	First Interest High-Point	IH	2.00	11/2023	Machine Learning
11-9041.01	1.B.1.h	Second Interest High-Point	IH	5.00	11/2023	Machine Learning
11-9041.01	1.B.1.i	Third Interest High-Point	IH	1.00	11/2023	Machine Learning
11-9051.00	1.B.1.a	Realistic	OI	4.16	02/2026	Machine Learning/Expert
11-9051.00	1.B.1.b	Investigative	OI	1.96	02/2026	Machine Learning/Expert
11-9051.00	1.B.1.c	Artistic	OI	1.63	02/2026	Machine Learning/Expert
11-9051.00	1.B.1.d	Social	OI	3.53	02/2026	Machine Learning/Expert
