Element ID	Element Name	Interest Type	Activity
1.B.3.ah	Finance	Specific Area	Analyze financials and securities of a company.
1.B.3.ah	Finance	Specific Area	Make investments to generate future income.
1.B.3.ah	Finance	Specific Area	Manage large amounts of money for a business.
1.B.3.ah	Finance	Specific Area	Plan and direct financial decisions for a business.
1.B.3.ai	Accounting	Specific Area	Keep accounting records for a company.
1.B.3.ai	Accounting	Specific Area	Prepare budgets for a business.
1.B.3.ai	Accounting	Specific Area	Prepare employee payroll.
1.B.3.ai	Accounting	Specific Area	Verify and record numerical data for financial records.
1.B.3.aj	Human Resources	Specific Area	Conduct training to improve employee skills and organizational performance.
1.B.3.aj	Human Resources	Specific Area	Interpret and explain company policies and benefits to employees.
1.B.3.aj	Human Resources	Specific Area	Maintain employee personnel records.
1.B.3.aj	Human Resources	Specific Area	Recruit and hire employees for a company.
1.B.3.ak	Office Work	Specific Area	Answer telephones, direct calls, and take messages.
1.B.3.ak	Office Work	Specific Area	Maintain and update filing, inventory, and database systems.
1.B.3.ak	Office Work	Specific Area	Operate office machines, such as printers and scanners.
1.B.3.ak	Office Work	Specific Area	Schedule appointments for customers.
1.B.3.al	Management/Administration	Specific Area	Develop organizational goals or objectives.
1.B.3.al	Management/Administration	Specific Area	Manage an organization or group of people.
1.B.3.al	Management/Administration	Specific Area	Plan or coordinate one or more administrative services.
1.B.3.al	Management/Administration	Specific Area	Supervise organizational operations or projects.
1.B.3.am	Public Speaking	Specific Area	Be a speaker at a club meeting.
1.B.3.am	Public Speaking	Specific Area	Discuss your ideas on a podcast.
1.B.3.am	Public Speaking	Specific Area	Make a public speech to raise money for a worthy cause.
1.B.3.am	Public Speaking	Specific Area	Provide a public announcement on TV or radio.
1.B.3.an	Politics	Specific Area	Campaign for political office.
1.B.3.an	Politics	Specific Area	Develop knowledge of government policy decisions.
1.B.3.an	Politics	Specific Area	Engage in a political debate.
1.B.3.an	Politics	Specific Area	Lead a political campaign.
1.B.3.ao	Law	Specific Area	Defend a client in court.
1.B.3.ao	Law	Specific Area	Draw up legal documents.
1.B.3.ao	Law	Specific Area	Mediate legal disputes.
1.B.3.ao	Law	Specific Area	Provide legal advice to clients.
