"Area","AreaName","StateAb","State","CountyTownName"
"10900","Allentown-Bethlehem-Easton, PA-NJ","PA","Pennsylvania","Northampton County"
"11020","Altoona, PA","PA","Pennsylvania","Blair County"
"11100","Amarillo, TX","TX","Texas","Armstrong County"
"11100","Amarillo, TX","TX","Texas","Carson County"
"11100","Amarillo, TX","TX","Texas","Oldham County"
"11100","Amarillo, TX","TX","Texas","Potter County"
"11100","Amarillo, TX","TX","Texas","Randall County"
"11180","Ames, IA","IA","Iowa","Boone County"
"11180","Ames, IA","IA","Iowa","Story County"
"11200","Amherst Town-Northampton, MA","MA","Massachusetts","Hampshire County"
"11260","Anchorage, AK","AK","Alaska","Anchorage Municipality"
"11260","Anchorage, AK","AK","Alaska","Matanuska-Susitna Borough"
"11460","Ann Arbor, MI","MI","Michigan","Washtenaw County"
"11500","Anniston-Oxford, AL","AL","Alabama","Calhoun County"
"11540","Appleton, WI","WI","Wisconsin","Calumet County"
"11540","Appleton, WI","WI","Wisconsin","Outagamie County"
"11640","Arecibo, PR","PR","Puerto Rico","Arecibo Municipio"
"11640","Arecibo, PR","PR","Puerto Rico","Camuy Municipio"
"11640","Arecibo, PR","PR","Puerto Rico","Hatillo Municipio"
"11640","Arecibo, PR","PR","Puerto Rico","Quebradillas Municipio"
"11700","Asheville, NC","NC","North Carolina","Buncombe County"
"11700","Asheville, NC","NC","North Carolina","Henderson County"
"11700","Asheville, NC","NC","North Carolina","Madison County"
"1200003","South Florida nonmetropolitan area","FL","Florida","DeSoto County"
"1200003","South Florida nonmetropolitan area","FL","Florida","Glades County"
"1200003","South Florida nonmetropolitan area","FL","Florida","Hardee County"
"1200003","South Florida nonmetropolitan area","FL","Florida","Hendry County"
"1200003","South Florida nonmetropolitan area","FL","Florida","Monroe County"
"1200003","South Florida nonmetropolitan area","FL","Florida","Okeechobee County"
"1200006","North Florida nonmetropolitan area","FL","Florida","Bradford County"
"1200006","North Florida nonmetropolitan area","FL","Florida","Calhoun County"
"1200006","North Florida nonmetropolitan area","FL","Florida","Columbia County"
"1200006","North Florida nonmetropolitan area","FL","Florida","Dixie County"
"1200006","North Florida nonmetropolitan area","FL","Florida","Franklin County"
"1200006","North Florida nonmetropolitan area","FL","Florida","Gulf County"
"1200006","North Florida nonmetropolitan area","FL","Florida","Hamilton County"
"1200006","North Florida nonmetropolitan area","FL","Florida","Holmes County"
"1200006","North Florida nonmetropolitan area","FL","Florida","Jackson County"
"1200006","North Florida nonmetropolitan area","FL","Florida","Lafayette County"
"1200006","North Florida nonmetropolitan area","FL","Florida","Liberty County"
"1200006","North Florida nonmetropolitan area","FL","Florida","Madison County"
"1200006","North Florida nonmetropolitan area","FL","Florida","Putnam County"
"1200006","North Florida nonmetropolitan area","FL","Florida","Suwannee County"
"1200006","North Florida nonmetropolitan area","FL","Florida","Taylor County"
"1200006","North Florida nonmetropolitan area","FL","Florida","Union County"
"12020","Athens-Clarke County, GA","GA","Georgia","Clarke County"
"12020","Athens-Clarke County, GA","GA","Georgia","Madison County"
"12020","Athens-Clarke County, GA","GA","Georgia","Oconee County"
"12020","Athens-Clarke County, GA","GA","Georgia","Oglethorpe County"
"12060","Atlanta-Sandy Springs-Roswell, GA","GA","Georgia","Barrow County"
"12060","Atlanta-Sandy Springs-Roswell, GA","GA","Georgia","Bartow County"
"12060","Atlanta-Sandy Springs-Roswell, GA","GA","Georgia","Butts County"
"12060","Atlanta-Sandy Springs-Roswell, GA","GA","Georgia","Carroll County"
"12060","Atlanta-Sandy Springs-Roswell, GA","GA","Georgia","Cherokee County"
"12060","Atlanta-Sandy Springs-Roswell, GA","GA","Georgia","Clayton County"
"12060","Atlanta-Sandy Springs-Roswell, GA","GA","Georgia","Cobb County"
"12060","Atlanta-Sandy Springs-Roswell, GA","GA","Georgia","Coweta County"
"12060","Atlanta-Sandy Springs-Roswell, GA","GA","Georgia","Dawson County"
"12060","Atlanta-Sandy Springs-Roswell, GA","GA","Georgia","DeKalb County"
"12060","Atlanta-Sandy Springs-Roswell, GA","GA","Georgia","Douglas County"
"12060","Atlanta-Sandy Springs-Roswell, GA","GA","Georgia","Fayette County"
"12060","Atlanta-Sandy Springs-Roswell, GA","GA","Georgia","Forsyth County"
"12060","Atlanta-Sandy Springs-Roswell, GA","GA","Georgia","Fulton County"
"12060","Atlanta-Sandy Springs-Roswell, GA","GA","Georgia","Gwinnett County"
"12060","Atlanta-Sandy Springs-Roswell, GA","GA","Georgia","Haralson County"
"12060","Atlanta-Sandy Springs-Roswell, GA","GA","Georgia","Heard County"
"12060","Atlanta-Sandy Springs-Roswell, GA","GA","Georgia","Henry County"
"12060","Atlanta-Sandy Springs-Roswell, GA","GA","Georgia","Jasper County"
"12060","Atlanta-Sandy Springs-Roswell, GA","GA","Georgia","Lumpkin County"
"12060","Atlanta-Sandy Springs-Roswell, GA","GA","Georgia","Meriwether County"
"12060","Atlanta-Sandy Springs-Roswell, GA","GA","Georgia","Morgan County"
"12060","Atlanta-Sandy Springs-Roswell, GA","GA","Georgia","Newton County"
"12060","Atlanta-Sandy Springs-Roswell, GA","GA","Georgia","Paulding County"
"12060","Atlanta-Sandy Springs-Roswell, GA","GA","Georgia","Pickens County"
"12060","Atlanta-Sandy Springs-Roswell, GA","GA","Georgia","Pike County"
"12060","Atlanta-Sandy Springs-Roswell, GA","GA","Georgia","Rockdale County"
"12060","Atlanta-Sandy Springs-Roswell, GA","GA","Georgia","Spalding County"
"12060","Atlanta-Sandy Springs-Roswell, GA","GA","Georgia","Walton County"
"12100","Atlantic City-Hammonton, NJ","NJ","New Jersey","Atlantic County"
"12100","Atlantic City-Hammonton, NJ","NJ","New Jersey","Cape May County"
"12220","Auburn-Opelika, AL","AL","Alabama","Lee County"
"12220","Auburn-Opelika, AL","AL","Alabama","Macon County"
"12260","Augusta-Richmond County, GA-SC","GA","Georgia","Burke County"
"12260","Augusta-Richmond County, GA-SC","GA","Georgia","Columbia County"
"12260","Augusta-Richmond County, GA-SC","GA","Georgia","Lincoln County"
"12260","Augusta-Richmond County, GA-SC","GA","Georgia","McDuffie County"
"12260","Augusta-Richmond County, GA-SC","GA","Georgia","Richmond County"
"12260","Augusta-Richmond County, GA-SC","SC","South Carolina","Aiken County"
"12260","Augusta-Richmond County, GA-SC","SC","South Carolina","Edgefield County"
"12420","Austin-Round Rock-San Marcos, TX","TX","Texas","Bastrop County"
"12420","Austin-Round Rock-San Marcos, TX","TX","Texas","Caldwell County"
"12420","Austin-Round Rock-San Marcos, TX","TX","Texas","Hays County"
"12420","Austin-Round Rock-San Marcos, TX","TX","Texas","Travis County"
"12420","Austin-Round Rock-San Marcos, TX","TX","Texas","Williamson County"
"12540","Bakersfield-Delano, CA","CA","California","Kern County"
"12580","Baltimore-Columbia-Towson, MD","MD","Maryland","Anne Arundel County"
"12580","Baltimore-Columbia-Towson, MD","MD","Maryland","Baltimore city"
"12580","Baltimore-Columbia-Towson, MD","MD","Maryland","Baltimore County"
"12580","Baltimore-Columbia-Towson, MD","MD","Maryland","Carroll County"
"12580","Baltimore-Columbia-Towson, MD","MD","Maryland","Harford County"
"12580","Baltimore-Columbia-Towson, MD","MD","Maryland","Howard County"
"12580","Baltimore-Columbia-Towson, MD","MD","Maryland","Queen Anne's County"
"12620","Bangor, ME","ME","Maine","Penobscot County"
"12700","Barnstable Town, MA","MA","Massachusetts","Barnstable County"
"12940","Baton Rouge, LA","LA","Louisiana","Ascension Parish"
"12940","Baton Rouge, LA","LA","Louisiana","Assumption Parish"
"12940","Baton Rouge, LA","LA","Louisiana","East Baton Rouge Parish"
"12940","Baton Rouge, LA","LA","Louisiana","East Feliciana Parish"
"12940","Baton Rouge, LA","LA","Louisiana","Iberville Parish"
"12940","Baton Rouge, LA","LA","Louisiana","Livingston Parish"
"12940","Baton Rouge, LA","LA","Louisiana","Pointe Coupee Parish"
"12940","Baton Rouge, LA","LA","Louisiana","St. Helena Parish"
"12940","Baton Rouge, LA","LA","Louisiana","West Baton Rouge Parish"
"12940","Baton Rouge, LA","LA","Louisiana","West Feliciana Parish"
"12980","Battle Creek, MI","MI","Michigan","Calhoun County"
"1300001","North Georgia nonmetropolitan area","GA","Georgia","Banks County"
"1300001","North Georgia nonmetropolitan area","GA","Georgia","Chattooga County"
"1300001","North Georgia nonmetropolitan area","GA","Georgia","Elbert County"
"1300001","North Georgia nonmetropolitan area","GA","Georgia","Fannin County"
"1300001","North Georgia nonmetropolitan area","GA","Georgia","Franklin County"
"1300001","North Georgia nonmetropolitan area","GA","Georgia","Gilmer County"
"1300001","North Georgia nonmetropolitan area","GA","Georgia","Gordon County"
"1300001","North Georgia nonmetropolitan area","GA","Georgia","Greene County"
"1300001","North Georgia nonmetropolitan area","GA","Georgia","Habersham County"
"1300001","North Georgia nonmetropolitan area","GA","Georgia","Hart County"
"1300001","North Georgia nonmetropolitan area","GA","Georgia","Jackson County"
"1300001","North Georgia nonmetropolitan area","GA","Georgia","Polk County"
"1300001","North Georgia nonmetropolitan area","GA","Georgia","Rabun County"
"1300001","North Georgia nonmetropolitan area","GA","Georgia","Stephens County"
"1300001","North Georgia nonmetropolitan area","GA","Georgia","Towns County"
"1300001","North Georgia nonmetropolitan area","GA","Georgia","Union County"
"1300001","North Georgia nonmetropolitan area","GA","Georgia","White County"
"1300002","Middle Georgia nonmetropolitan area","GA","Georgia","Baldwin County"
"1300002","Middle Georgia nonmetropolitan area","GA","Georgia","Bleckley County"
"1300002","Middle Georgia nonmetropolitan area","GA","Georgia","Crisp County"
"1300002","Middle Georgia nonmetropolitan area","GA","Georgia","Dodge County"
"1300002","Middle Georgia nonmetropolitan area","GA","Georgia","Dooly County"
"1300002","Middle Georgia nonmetropolitan area","GA","Georgia","Lamar County"
"1300002","Middle Georgia nonmetropolitan area","GA","Georgia","Laurens County"
"1300002","Middle Georgia nonmetropolitan area","GA","Georgia","Macon County"
"1300002","Middle Georgia nonmetropolitan area","GA","Georgia","Pulaski County"
"1300002","Middle Georgia nonmetropolitan area","GA","Georgia","Putnam County"
"1300002","Middle Georgia nonmetropolitan area","GA","Georgia","Schley County"
"1300002","Middle Georgia nonmetropolitan area","GA","Georgia","Sumter County"
"1300002","Middle Georgia nonmetropolitan area","GA","Georgia","Taylor County"
"1300002","Middle Georgia nonmetropolitan area","GA","Georgia","Troup County"
"1300002","Middle Georgia nonmetropolitan area","GA","Georgia","Upson County"
"1300002","Middle Georgia nonmetropolitan area","GA","Georgia","Webster County"
"1300002","Middle Georgia nonmetropolitan area","GA","Georgia","Wilcox County"
"1300002","Middle Georgia nonmetropolitan area","GA","Georgia","Wilkinson County"
"1300003","East Georgia nonmetropolitan area","GA","Georgia","Bulloch County"
"1300003","East Georgia nonmetropolitan area","GA","Georgia","Candler County"
"1300003","East Georgia nonmetropolitan area","GA","Georgia","Emanuel County"
"1300003","East Georgia nonmetropolitan area","GA","Georgia","Evans County"
"1300003","East Georgia nonmetropolitan area","GA","Georgia","Glascock County"
"1300003","East Georgia nonmetropolitan area","GA","Georgia","Hancock County"
"1300003","East Georgia nonmetropolitan area","GA","Georgia","Jefferson County"
"1300003","East Georgia nonmetropolitan area","GA","Georgia","Jenkins County"
"1300003","East Georgia nonmetropolitan area","GA","Georgia","Johnson County"
"1300003","East Georgia nonmetropolitan area","GA","Georgia","Montgomery County"
"1300003","East Georgia nonmetropolitan area","GA","Georgia","Screven County"
"1300003","East Georgia nonmetropolitan area","GA","Georgia","Taliaferro County"
"1300003","East Georgia nonmetropolitan area","GA","Georgia","Tattnall County"
"1300003","East Georgia nonmetropolitan area","GA","Georgia","Toombs County"
"1300003","East Georgia nonmetropolitan area","GA","Georgia","Treutlen County"
"1300003","East Georgia nonmetropolitan area","GA","Georgia","Warren County"
"1300003","East Georgia nonmetropolitan area","GA","Georgia","Washington County"
"1300003","East Georgia nonmetropolitan area","GA","Georgia","Wheeler County"
"1300003","East Georgia nonmetropolitan area","GA","Georgia","Wilkes County"
"1300004","South Georgia nonmetropolitan area","GA","Georgia","Appling County"
"1300004","South Georgia nonmetropolitan area","GA","Georgia","Atkinson County"
"1300004","South Georgia nonmetropolitan area","GA","Georgia","Bacon County"
"1300004","South Georgia nonmetropolitan area","GA","Georgia","Baker County"
"1300004","South Georgia nonmetropolitan area","GA","Georgia","Ben Hill County"
"1300004","South Georgia nonmetropolitan area","GA","Georgia","Berrien County"
"1300004","South Georgia nonmetropolitan area","GA","Georgia","Calhoun County"
"1300004","South Georgia nonmetropolitan area","GA","Georgia","Camden County"
"1300004","South Georgia nonmetropolitan area","GA","Georgia","Charlton County"
"1300004","South Georgia nonmetropolitan area","GA","Georgia","Clay County"
"1300004","South Georgia nonmetropolitan area","GA","Georgia","Clinch County"
"1300004","South Georgia nonmetropolitan area","GA","Georgia","Coffee County"
"1300004","South Georgia nonmetropolitan area","GA","Georgia","Colquitt County"
"1300004","South Georgia nonmetropolitan area","GA","Georgia","Cook County"
"1300004","South Georgia nonmetropolitan area","GA","Georgia","Decatur County"
"1300004","South Georgia nonmetropolitan area","GA","Georgia","Early County"
"1300004","South Georgia nonmetropolitan area","GA","Georgia","Grady County"
"1300004","South Georgia nonmetropolitan area","GA","Georgia","Irwin County"
"1300004","South Georgia nonmetropolitan area","GA","Georgia","Jeff Davis County"
"1300004","South Georgia nonmetropolitan area","GA","Georgia","Miller County"
"1300004","South Georgia nonmetropolitan area","GA","Georgia","Mitchell County"
"1300004","South Georgia nonmetropolitan area","GA","Georgia","Pierce County"
"1300004","South Georgia nonmetropolitan area","GA","Georgia","Quitman County"
"1300004","South Georgia nonmetropolitan area","GA","Georgia","Randolph County"
"1300004","South Georgia nonmetropolitan area","GA","Georgia","Seminole County"
"1300004","South Georgia nonmetropolitan area","GA","Georgia","Telfair County"
"1300004","South Georgia nonmetropolitan area","GA","Georgia","Thomas County"
"1300004","South Georgia nonmetropolitan area","GA","Georgia","Tift County"
"1300004","South Georgia nonmetropolitan area","GA","Georgia","Turner County"
"1300004","South Georgia nonmetropolitan area","GA","Georgia","Ware County"
"1300004","South Georgia nonmetropolitan area","GA","Georgia","Wayne County"
"13020","Bay City, MI","MI","Michigan","Bay County"
"13140","Beaumont-Port Arthur, TX","TX","Texas","Hardin County"
"13140","Beaumont-Port Arthur, TX","TX","Texas","Jefferson County"
"13140","Beaumont-Port Arthur, TX","TX","Texas","Orange County"
"13220","Beckley, WV","WV","West Virginia","Fayette County"
"13220","Beckley, WV","WV","West Virginia","Raleigh County"
"13380","Bellingham, WA","WA","Washington","Whatcom County"
"13460","Bend, OR","OR","Oregon","Crook County"
"13460","Bend, OR","OR","Oregon","Deschutes County"
"13460","Bend, OR","OR","Oregon","Jefferson County"
"13740","Billings, MT","MT","Montana","Carbon County"
"13740","Billings, MT","MT","Montana","Stillwater County"
"13740","Billings, MT","MT","Montana","Yellowstone County"
"13780","Binghamton, NY","NY","New York","Broome County"
"13780","Binghamton, NY","NY","New York","Tioga County"
"13820","Birmingham, AL","AL","Alabama","Bibb County"
"13820","Birmingham, AL","AL","Alabama","Blount County"
"13820","Birmingham, AL","AL","Alabama","Chilton County"
"13820","Birmingham, AL","AL","Alabama","Jefferson County"
"13820","Birmingham, AL","AL","Alabama","Shelby County"
"13820","Birmingham, AL","AL","Alabama","St. Clair County"
"13820","Birmingham, AL","AL","Alabama","Walker County"
"13900","Bismarck, ND","ND","North Dakota","Burleigh County"
"13900","Bismarck, ND","ND","North Dakota","Morton County"
"13900","Bismarck, ND","ND","North Dakota","Oliver County"
"13980","Blacksburg-Christiansburg-Radford, VA","VA","Virginia","Floyd County"
"13980","Blacksburg-Christiansburg-Radford, VA","VA","Virginia","Giles County"
"13980","Blacksburg-Christiansburg-Radford, VA","VA","Virginia","Montgomery County"
"13980","Blacksburg-Christiansburg-Radford, VA","VA","Virginia","Pulaski County"
"13980","Blacksburg-Christiansburg-Radford, VA","VA","Virginia","Radford city"
"14010","Bloomington, IL","IL","Illinois","McLean County"
"14020","Bloomington, IN","IN","Indiana","Monroe County"
"14020","Bloomington, IN","IN","Indiana","Owen County"
"14260","Boise City, ID","ID","Idaho","Ada County"
"14260","Boise City, ID","ID","Idaho","Boise County"
"14260","Boise City, ID","ID","Idaho","Canyon County"
"14260","Boise City, ID","ID","Idaho","Gem County"
"14260","Boise City, ID","ID","Idaho","Owyhee County"
"14460","Boston-Cambridge-Newton, MA-NH","MA","Massachusetts","Essex County"
"14460","Boston-Cambridge-Newton, MA-NH","MA","Massachusetts","Middlesex County"
"14460","Boston-Cambridge-Newton, MA-NH","MA","Massachusetts","Norfolk County"
"14460","Boston-Cambridge-Newton, MA-NH","MA","Massachusetts","Plymouth County"
"14460","Boston-Cambridge-Newton, MA-NH","MA","Massachusetts","Suffolk County"
"14460","Boston-Cambridge-Newton, MA-NH","NH","New Hampshire","Rockingham County"
"14460","Boston-Cambridge-Newton, MA-NH","NH","New Hampshire","Strafford County"
"14500","Boulder, CO","CO","Colorado","Boulder County"
"14540","Bowling Green, KY","KY","Kentucky","Allen County"
"14540","Bowling Green, KY","KY","Kentucky","Butler County"
"14540","Bowling Green, KY","KY","Kentucky","Edmonson County"
"14540","Bowling Green, KY","KY","Kentucky","Warren County"
"14580","Bozeman, MT","MT","Montana","Gallatin County"
"14740","Bremerton-Silverdale-Port Orchard, WA","WA","Washington","Kitsap County"
"14860","Bridgeport-Stamford-Danbury, CT","CT","Connecticut","Greater Bridgeport Planning Region"
"14860","Bridgeport-Stamford-Danbury, CT","CT","Connecticut","Western Connecticut Planning Region"
"1500001","Hawaii / Kauai nonmetropolitan area","HI","Hawaii","Hawaii County"
"1500001","Hawaii / Kauai nonmetropolitan area","HI","Hawaii","Kauai County"
"15180","Brownsville-Harlingen, TX","TX","Texas","Cameron County"
"15260","Brunswick-St. Simons, GA","GA","Georgia","Brantley County"
"15260","Brunswick-St. Simons, GA","GA","Georgia","Glynn County"
"15260","Brunswick-St. Simons, GA","GA","Georgia","McIntosh County"
"15380","Buffalo-Cheektowaga, NY","NY","New York","Erie County"
"15380","Buffalo-Cheektowaga, NY","NY","New York","Niagara County"
"15500","Burlington, NC","NC","North Carolina","Alamance County"
"15540","Burlington-South Burlington, VT","VT","Vermont","Chittenden County"
"15540","Burlington-South Burlington, VT","VT","Vermont","Franklin County"
"15540","Burlington-South Burlington, VT","VT","Vermont","Grand Isle County"
"15940","Canton-Massillon, OH","OH","Ohio","Carroll County"
"15940","Canton-Massillon, OH","OH","Ohio","Stark County"
"15980","Cape Coral-Fort Myers, FL","FL","Florida","Lee County"
"1600006","Northwestern Idaho nonmetropolitan area","ID","Idaho","Adams County"
"1600006","Northwestern Idaho nonmetropolitan area","ID","Idaho","Benewah County"
"1600006","Northwestern Idaho nonmetropolitan area","ID","Idaho","Bonner County"
"1600006","Northwestern Idaho nonmetropolitan area","ID","Idaho","Boundary County"
"1600006","Northwestern Idaho nonmetropolitan area","ID","Idaho","Clearwater County"
"1600006","Northwestern Idaho nonmetropolitan area","ID","Idaho","Elmore County"
"1600006","Northwestern Idaho nonmetropolitan area","ID","Idaho","Idaho County"
"1600006","Northwestern Idaho nonmetropolitan area","ID","Idaho","Latah County"
"1600006","Northwestern Idaho nonmetropolitan area","ID","Idaho","Lewis County"
"1600006","Northwestern Idaho nonmetropolitan area","ID","Idaho","Payette County"
"1600006","Northwestern Idaho nonmetropolitan area","ID","Idaho","Shoshone County"
"1600006","Northwestern Idaho nonmetropolitan area","ID","Idaho","Valley County"
"1600006","Northwestern Idaho nonmetropolitan area","ID","Idaho","Washington County"
"1600007","Southeast-Central Idaho nonmetropolitan area","ID","Idaho","Bear Lake County"
"1600007","Southeast-Central Idaho nonmetropolitan area","ID","Idaho","Bingham County"
"1600007","Southeast-Central Idaho nonmetropolitan area","ID","Idaho","Blaine County"
"1600007","Southeast-Central Idaho nonmetropolitan area","ID","Idaho","Camas County"
"1600007","Southeast-Central Idaho nonmetropolitan area","ID","Idaho","Caribou County"
"1600007","Southeast-Central Idaho nonmetropolitan area","ID","Idaho","Cassia County"
"1600007","Southeast-Central Idaho nonmetropolitan area","ID","Idaho","Clark County"
"1600007","Southeast-Central Idaho nonmetropolitan area","ID","Idaho","Custer County"
"1600007","Southeast-Central Idaho nonmetropolitan area","ID","Idaho","Fremont County"
"1600007","Southeast-Central Idaho nonmetropolitan area","ID","Idaho","Gooding County"
"1600007","Southeast-Central Idaho nonmetropolitan area","ID","Idaho","Lemhi County"
"1600007","Southeast-Central Idaho nonmetropolitan area","ID","Idaho","Lincoln County"
"1600007","Southeast-Central Idaho nonmetropolitan area","ID","Idaho","Madison County"
"1600007","Southeast-Central Idaho nonmetropolitan area","ID","Idaho","Minidoka County"
"1600007","Southeast-Central Idaho nonmetropolitan area","ID","Idaho","Oneida County"
"1600007","Southeast-Central Idaho nonmetropolitan area","ID","Idaho","Power County"
"1600007","Southeast-Central Idaho nonmetropolitan area","ID","Idaho","Teton County"
"16020","Cape Girardeau, MO-IL","IL","Illinois","Alexander County"
"16020","Cape Girardeau, MO-IL","MO","Missouri","Bollinger County"
"16020","Cape Girardeau, MO-IL","MO","Missouri","Cape Girardeau County"
"16180","Carson City, NV","NV","Nevada","Carson City"
"16220","Casper, WY","WY","Wyoming","Natrona County"
"16300","Cedar Rapids, IA","IA","Iowa","Benton County"
"16300","Cedar Rapids, IA","IA","Iowa","Jones County"
"16300","Cedar Rapids, IA","IA","Iowa","Linn County"
"16540","Chambersburg, PA","PA","Pennsylvania","Franklin County"
"16580","Champaign-Urbana, IL","IL","Illinois","Champaign County"
"16580","Champaign-Urbana, IL","IL","Illinois","Ford County"
"16580","Champaign-Urbana, IL","IL","Illinois","Piatt County"
"16620","Charleston, WV","WV","West Virginia","Boone County"
"16620","Charleston, WV","WV","West Virginia","Clay County"
"16620","Charleston, WV","WV","West Virginia","Kanawha County"
"16700","Charleston-North Charleston, SC","SC","South Carolina","Berkeley County"
"16700","Charleston-North Charleston, SC","SC","South Carolina","Charleston County"
"16700","Charleston-North Charleston, SC","SC","South Carolina","Dorchester County"
"16740","Charlotte-Concord-Gastonia, NC-SC","NC","North Carolina","Anson County"
"16740","Charlotte-Concord-Gastonia, NC-SC","NC","North Carolina","Cabarrus County"
"16740","Charlotte-Concord-Gastonia, NC-SC","NC","North Carolina","Gaston County"
"16740","Charlotte-Concord-Gastonia, NC-SC","NC","North Carolina","Iredell County"
"16740","Charlotte-Concord-Gastonia, NC-SC","NC","North Carolina","Lincoln County"
"16740","Charlotte-Concord-Gastonia, NC-SC","NC","North Carolina","Mecklenburg County"
"16740","Charlotte-Concord-Gastonia, NC-SC","NC","North Carolina","Rowan County"
"16740","Charlotte-Concord-Gastonia, NC-SC","NC","North Carolina","Union County"
"16740","Charlotte-Concord-Gastonia, NC-SC","SC","South Carolina","Chester County"
"16740","Charlotte-Concord-Gastonia, NC-SC","SC","South Carolina","Lancaster County"
"16740","Charlotte-Concord-Gastonia, NC-SC","SC","South Carolina","York County"
"16820","Charlottesville, VA","VA","Virginia","Albemarle County"
